interaction_id,source,target,ligand_complex,receptor_complex,n_patients,spearman_rho,spearman_ci95_low,spearman_ci95_high,p_value,fdr_q_value
Plasma Cells|B Cells|CD70|TNFRSF13B,Plasma Cells,B Cells,CD70,TNFRSF13B,11,-0.06310133798587209,-0.6388035953972787,0.5579002656611805,0.8537673047335209,0.9619215232009419
NK Cells|NK Cells|TGFB1|CXCR4,NK Cells,NK Cells,TGFB1,CXCR4,31,0.03451364461136298,-0.3237923341587862,0.384161507622375,0.8537611074671333,0.9619215232009419
pDCs|Classical Monocytes|ICAM4|ITGAM,pDCs,Classical Monocytes,ICAM4,ITGAM,5,-0.11470786693528089,-0.9053548172171014,0.8539911342303863,0.854270329246279,0.9619215232009419
cDCs|Non-classical Monocytes|TIMP2|CD44,cDCs,Non-classical Monocytes,TIMP2,CD44,28,-0.03640898702191712,-0.4040042919914024,0.3413103582340041,0.8540642846354576,0.9619215232009419
IFN-stimulated T Cells|cDCs|PTDSS1|JMJD6,IFN-stimulated T Cells,cDCs,PTDSS1,JMJD6,11,0.06328300985646061,-0.5577746252049111,0.6389115509858746,0.853350216712698,0.9619215232009419
Classical Monocytes|NK Cells|ICAM1|ITGAX_ITGB2,Classical Monocytes,NK Cells,ICAM1,ITGAX_ITGB2,5,0.11470786693528089,-0.8539911342303863,0.9053548172171014,0.854270329246279,0.9619215232009419
CD8 T Cells|B Cells|TGFB1|ITGB1,CD8 T Cells,B Cells,TGFB1,ITGB1,24,0.03959475911045725,-0.36971384299251614,0.43603343701177977,0.8542563063225544,0.9619215232009419
Classical Monocytes|CD8 T Cells|HLA-DRA|LAG3,Classical Monocytes,CD8 T Cells,HLA-DRA,LAG3,30,-0.035121455501705076,-0.3904561156170339,0.32932082388246314,0.8538167971874854,0.9619215232009419
cDCs|NK Cells|CD99|CD81,cDCs,NK Cells,CD99,CD81,15,-0.05225437283634242,-0.5498074340317931,0.47266871261495447,0.8532698849785547,0.9619215232009419
pDCs|CD8 T Cells|PKM|CD44,pDCs,CD8 T Cells,PKM,CD44,20,0.04389774719428526,-0.4065272470706856,0.477156327508316,0.8541987118455698,0.9619215232009419
pDCs|CD8 T Cells|ICAM4|ITGAL,pDCs,CD8 T Cells,ICAM4,ITGAL,5,-0.11470786693528089,-0.9053548172171014,0.8539911342303863,0.854270329246279,0.9619215232009419
IFN-stimulated T Cells|CD4 T Cells|HLA-DRA|CD4,IFN-stimulated T Cells,CD4 T Cells,HLA-DRA,CD4,21,0.042632033310843115,-0.3963561842771465,0.46575399276956714,0.8544178589561943,0.9619215232009419
CD8 T Cells|NK Cells|HLA-C|KIR2DL2,CD8 T Cells,NK Cells,HLA-C,KIR2DL2,19,-0.04499905053005062,-0.48921624166951955,0.41775602632920145,0.8548592200913684,0.9620776154662797
Non-classical Monocytes|B Cells|LILRB4|LAIR1,Non-classical Monocytes,B Cells,LILRB4,LAIR1,9,-0.07118684968143743,-0.7021223163216511,0.6223669144768428,0.8555903632785015,0.9620776154662797
B Cells|NK Cells|SPTAN1|PTPRA,B Cells,NK Cells,SPTAN1,PTPRA,6,-0.09677419354838712,-0.8421973385591817,0.7757182194941882,0.8552918666711422,0.9620776154662797
Plasma Cells|CD4 T Cells|CD14|ITGB1,Plasma Cells,CD4 T Cells,CD14,ITGB1,11,0.06250288943852585,-0.5583139388973638,0.6384478165602057,0.8551414789809311,0.9620776154662797
NK Cells|cDCs|CALM1|PTPRA,NK Cells,cDCs,CALM1,PTPRA,30,-0.034692303347725335,-0.3900918854481045,0.32970384609819026,0.855584339838346,0.9620776154662797
