interaction_id,source,target,ligand_complex,receptor_complex,n_patients,spearman_rho,spearman_ci95_low,spearman_ci95_high,p_value,fdr_q_value
Non-classical Monocytes|CD4 T Cells|ARF6|SMAP1,Non-classical Monocytes,CD4 T Cells,ARF6,SMAP1,7,-0.7748062179181807,-0.9648823997180725,-0.05219514224523714,0.040769462520420366,0.6028169555548537
Non-classical Monocytes|CD4 T Cells|CALM1|PTPRA,Non-classical Monocytes,CD4 T Cells,CALM1,PTPRA,7,-0.8829187134416479,-0.982634733999806,-0.3875000022962168,0.008450342381896615,0.6028169555548537
Classical Monocytes|CD4 T Cells|CD48|CD2,Classical Monocytes,CD4 T Cells,CD48,CD2,7,0.792824967172092,0.09866983040838241,0.967966815790754,0.03344354374054152,0.6028169555548537
CD4 T Cells|Non-classical Monocytes|PTPN6|CD300LF,CD4 T Cells,Non-classical Monocytes,PTPN6,CD300LF,7,0.8090398349558906,0.14325120352624365,0.9706979814823802,0.027534180514511123,0.6028169555548537
Non-classical Monocytes|Non-classical Monocytes|HMGB1|TLR2,Non-classical Monocytes,Non-classical Monocytes,HMGB1,TLR2,7,-0.900937462695559,-0.9854260208889527,-0.45989297948985575,0.00562058671534502,0.6028169555548537
CD8 T Cells|CD8 T Cells|HLA-DPB1|LAG3,CD8 T Cells,CD8 T Cells,HLA-DPB1,LAG3,7,0.8108437164260032,0.14838365380415272,0.9709992600551484,0.026916328843161995,0.6028169555548537
CD8 T Cells|CD8 T Cells|HLA-DRB1|LAG3,CD8 T Cells,CD8 T Cells,HLA-DRB1,LAG3,7,0.8,0.11805915409700245,0.9691804829623755,0.030749440885082482,0.6028169555548537
B Cells|CD4 T Cells|GNAI2|S1PR4,B Cells,CD4 T Cells,GNAI2,S1PR4,7,0.8151238417997327,0.16070606506243507,0.9717120835956394,0.025481771465468355,0.6028169555548537
CD8 T Cells|CD8 T Cells|HLA-A|APLP2,CD8 T Cells,CD8 T Cells,HLA-A,APLP2,5,0.8999999999999998,0.08607666220616547,0.9934378491141874,0.03738607346849874,0.6028169555548537
Non-classical Monocytes|CD4 T Cells|CD48|CD2,Non-classical Monocytes,CD4 T Cells,CD48,CD2,7,0.900937462695559,0.45989297948985575,0.9854260208889527,0.00562058671534502,0.6028169555548537
B Cells|CD8 T Cells|CD48|CD2,B Cells,CD8 T Cells,CD48,CD2,7,0.7748062179181807,0.05219514224523714,0.9648823997180725,0.040769462520420366,0.6028169555548537
B Cells|CD8 T Cells|FAM3C|LAMP1,B Cells,CD8 T Cells,FAM3C,LAMP1,7,0.8090909090909091,0.14339603002469342,0.9707065187194064,0.027516578664500267,0.6028169555548537
NK Cells|pDCs|SPON2|ITGB2,NK Cells,pDCs,SPON2,ITGB2,7,-0.7748062179181807,-0.9648823997180725,-0.05219514224523714,0.040769462520420366,0.6028169555548537
NK Cells|pDCs|LRPAP1|SORL1,NK Cells,pDCs,LRPAP1,SORL1,6,0.8574929257125441,0.15102494185908122,0.9841661563592792,0.029015363531383804,0.6028169555548537
Non-classical Monocytes|B Cells|SELPLG|SELL,Non-classical Monocytes,B Cells,SELPLG,SELL,7,0.7748062179181807,0.05219514224523714,0.9648823997180725,0.040769462520420366,0.6028169555548537
B Cells|CD4 T Cells|HMGB1|CXCR4,B Cells,CD4 T Cells,HMGB1,CXCR4,7,0.7748062179181807,0.05219514224523714,0.9648823997180725,0.040769462520420366,0.6028169555548537
B Cells|CD4 T Cells|LGALS1|ITGB1,B Cells,CD4 T Cells,LGALS1,ITGB1,6,0.8857142857142858,0.26369337755850325,0.9874710141707443,0.01884548104956266,0.6028169555548537
