interaction_id,source,target,ligand_complex,receptor_complex,interaction_coef,interaction_ci95_low,interaction_ci95_high,n_observations,interaction_p_value,fdr_q_value,n_cHD,mean_cHD,n_cSLE,mean_cSLE,n_aHD,mean_aHD,n_aSLE,mean_aSLE
Non-classical Monocytes|Non-classical Monocytes|SEMA4D|PLXNB2,Non-classical Monocytes,Non-classical Monocytes,SEMA4D,PLXNB2,0.18990061782823026,-0.14873386825798057,0.528535103914441,55,0.27171774256624226,0.6264686784919403,10,0.07536179362215467,33,0.05196153489714203,5,0.3093632983889044,7,0.09606242183566151
CD4 T Cells|Classical Monocytes|SELL|SELPLG,CD4 T Cells,Classical Monocytes,SELL,SELPLG,-0.1251426171319568,-0.34770265263673233,0.09741741837281875,56,0.2704345919813187,0.6264686784919403,11,0.43914343821844315,33,0.3211724030336962,5,0.37816673010664986,7,0.3853383120538597
Classical Monocytes|CD8 T Cells|MIF|CD74,Classical Monocytes,CD8 T Cells,MIF,CD74,0.1491784049934749,-0.11531975929982341,0.4136765692867732,56,0.2689731544071513,0.6264686784919403,11,0.6478536409731547,33,0.7856634377965415,5,0.6667401847161141,7,0.655371576546026
pDCs|B Cells|PTPRC|CD22,pDCs,B Cells,PTPRC,CD22,-0.13389637661756087,-0.37075654520065715,0.10296379196553543,44,0.26787820968851206,0.6264686784919403,10,0.22340360333550344,22,0.232916568241155,5,0.0989949520333194,7,0.24240429355653184
pDCs|CD8 T Cells|TNFSF13B|HLA-DPB1,pDCs,CD8 T Cells,TNFSF13B,HLA-DPB1,0.1497022879240268,-0.11770327739162767,0.41710785323968125,43,0.27253157199931866,0.6264686784919403,10,0.24553700576324627,21,0.4388542624879716,5,0.3787613515233026,7,0.42237632032400113
CD8 T Cells|NK Cells|ITGAL_ITGB2|ICAM3,CD8 T Cells,NK Cells,ITGAL_ITGB2,ICAM3,0.1059640365831046,-0.08559384344805307,0.2975219166142623,56,0.2782792746581362,0.6295841878599816,11,0.23071470818057208,33,0.2249786541874764,5,0.5035993927443204,7,0.39189930216812013
CD8 T Cells|Non-classical Monocytes|SELL|SELPLG,CD8 T Cells,Non-classical Monocytes,SELL,SELPLG,0.1284520448539154,-0.10222714682117137,0.35913123652900214,56,0.27510051250160217,0.6295841878599816,11,0.20577077967893517,33,0.1842739202550731,5,0.3423757785279628,7,0.19242687425018534
Classical Monocytes|Classical Monocytes|APP|CD74,Classical Monocytes,Classical Monocytes,APP,CD74,-0.08104339386199089,-0.22790247726146784,0.06581568953748607,55,0.27943227644694346,0.6295841878599816,11,0.546923519759705,32,0.5357266835450641,5,0.6087553523051812,7,0.6786019099525312
Classical Monocytes|Non-classical Monocytes|TNFSF13B|TFRC,Classical Monocytes,Non-classical Monocytes,TNFSF13B,TFRC,-0.14855185590689796,-0.41795776903872367,0.12085405722492776,44,0.27981519460443627,0.6295841878599816,9,0.46527414835317477,23,0.3784000239227294,5,0.3337342956153001,7,0.3954120270917527
Non-classical Monocytes|Classical Monocytes|CD1D|LILRB2,Non-classical Monocytes,Classical Monocytes,CD1D,LILRB2,-0.0813107474380948,-0.227881785416735,0.06526029054054541,51,0.2769059156583221,0.6295841878599816,9,0.034612792263304965,30,0.053683702021116345,5,0.0,7,0.10038165719590618
CD4 T Cells|CD8 T Cells|SIRPG|CD47,CD4 T Cells,CD8 T Cells,SIRPG,CD47,-0.11941854431358502,-0.3368455355686696,0.09800844694149956,53,0.28171215070241973,0.6309132278774809,11,0.09025496857188163,30,0.151045962867386,5,0.0,7,0.1802095386090894
CD4 T Cells|Non-classical Monocytes|MIF|CD74,CD4 T Cells,Non-classical Monocytes,MIF,CD74,0.006358009814179777,-0.005243873147069663,0.01795989277542922,56,0.28278220006561294,0.6309132278774809,11,0.9814388978620183,33,0.9872565552453934,5,0.9878986544125912,7,0.9873583019817864
NK Cells|B Cells|MIF|CD74,NK Cells,B Cells,MIF,CD74,0.003041567684170521,-0.002524043729502849,0.00860717909784389,56,0.28412150099753875,0.6312490252288413,11,0.9974556941827636,33,0.9990832498143173,5,0.9973261774541793,7,0.9959121654015625
pDCs|CD8 T Cells|APP|CD74,pDCs,CD8 T Cells,APP,CD74,-0.048566469675966895,-0.1386489978180352,0.041516058466101416,44,0.29065701926019993,0.6322964661578238,10,0.9035744748112856,22,0.8962896538504875,5,0.8779412260007649,7,0.9192228747159337
Classical Monocytes|Non-classical Monocytes|COPA|CD74,Classical Monocytes,Non-classical Monocytes,COPA,CD74,-0.05099910875070457,-0.14527913538024068,0.043280917878831524,56,0.2890500889033131,0.6322964661578238,11,0.7857177659059378,33,0.7710685434155471,5,0.8256706680319864,7,0.8620205542923003
Classical Monocytes|CD8 T Cells|TNFSF13B|HLA-DPB1,Classical Monocytes,CD8 T Cells,TNFSF13B,HLA-DPB1,-0.13849009814591218,-0.3931105272348695,0.11613033094304515,56,0.28640548522253495,0.6322964661578238,11,0.5513790004038376,33,0.7308253031793407,5,0.3601752558446131,7,0.6781116567660284
Non-classical Monocytes|B Cells|ITGAL_ITGB2|ICAM3,Non-classical Monocytes,B Cells,ITGAL_ITGB2,ICAM3,0.12632932514106465,-0.10697229335543243,0.35963094363756176,56,0.28855763666454004,0.6322964661578238,11,0.2889896287992292,33,0.30131087397376377,5,0.42659442138658576,7,0.3125863414200557
Classical Monocytes|B Cells|LGALS9|CD44,Classical Monocytes,B Cells,LGALS9,CD44,0.1208602587758234,-0.1030425455670051,0.3447630631186519,56,0.2900705360355246,0.6322964661578238,11,0.15949249016176753,33,0.15174460657195865,5,0.38458460354249907,7,0.2559764611768668
B Cells|NK Cells|MIF|TNFRSF14,B Cells,NK Cells,MIF,TNFRSF14,0.12132843529489848,-0.10421969850851803,0.346876569098315,56,0.2917375408826117,0.6322964661578238,11,0.25087820203139305,33,0.23970564593949417,5,0.334909783033027,7,0.20240879164622963
pDCs|Non-classical Monocytes|LGALS9|CD47,pDCs,Non-classical Monocytes,LGALS9,CD47,-0.1505078007724095,-0.4347103285824428,0.1336947270376238,43,0.2992902945638386,0.6427629218109466,10,0.3587305540329465,21,0.21371011510756874,5,0.3179136268520573,7,0.32340098869908906
Classical Monocytes|pDCs|HBEGF|CD44,Classical Monocytes,pDCs,HBEGF,CD44,-0.14870917307226245,-0.4289407151919731,0.13152236904744818,41,0.29830041207115277,0.6427629218109466,9,0.3881123794602737,20,0.2674662340221837,5,0.3589879803004869,7,0.38705100793465935
Classical Monocytes|NK Cells|LGALS9|CD47,Classical Monocytes,NK Cells,LGALS9,CD47,0.12805859918892978,-0.11420796090003171,0.3703251592778913,56,0.3001981254408941,0.6427629218109466,11,0.16060997318619277,33,0.22992980436004423,5,0.31883698601840127,7,0.26009821800332295
Non-classical Monocytes|Classical Monocytes|ALOX5|ALOX5AP,Non-classical Monocytes,Classical Monocytes,ALOX5,ALOX5AP,0.13382454963871673,-0.12068948124148335,0.3883385805189168,56,0.30274845936656547,0.6456202085286998,11,0.05678577016167254,33,0.20306449904968932,5,0.14004443743479805,7,0.1524986166840981
B Cells|Non-classical Monocytes|FCER2|ITGAX_ITGB2,B Cells,Non-classical Monocytes,FCER2,ITGAX_ITGB2,-0.1369657888901854,-0.39861249750150196,0.12468091972113116,55,0.3048943038218621,0.6475955013176352,11,0.48545042930317855,33,0.24404070541427872,5,0.4115654907419707,6,0.3071215557432563
CD8 T Cells|Non-classical Monocytes|SPN|ICAM1,CD8 T Cells,Non-classical Monocytes,SPN,ICAM1,0.08988325528941218,-0.08389865686625989,0.2636651674450843,47,0.3107115901900831,0.6476854470457221,9,0.04144032600635658,26,0.10832180357453755,5,0.07845990690087627,7,0.05545812917964505
Classical Monocytes|pDCs|LGALS9|CD44,Classical Monocytes,pDCs,LGALS9,CD44,0.10844675354502412,-0.10062812648808622,0.31752163357813445,44,0.3093296230674867,0.6476854470457221,10,0.202986996939496,22,0.27143415071105964,5,0.2442340366347297,7,0.20423443686126921
NK Cells|pDCs|MIF|TNFRSF14,NK Cells,pDCs,MIF,TNFRSF14,0.1571519861812212,-0.14842859681605244,0.4627325691784948,44,0.31347487738371105,0.6476854470457221,10,0.38544049816439346,22,0.3577225811415461,5,0.2970321912614941,7,0.11216228805742554
Classical Monocytes|pDCs|APP|CD74,Classical Monocytes,pDCs,APP,CD74,-0.05232343583451027,-0.15375372016363625,0.04910684849461572,44,0.3119879659558338,0.6476854470457221,10,0.8195256771265054,22,0.8139347539495265,5,0.8128428594509784,7,0.8595753721085099
pDCs|CD4 T Cells|COPA|CD74,pDCs,CD4 T Cells,COPA,CD74,0.1093189182832946,-0.10177363546487048,0.3204114720314597,43,0.31010085818030275,0.6476854470457221,10,0.3411747239636328,21,0.391079625892422,5,0.3935624819787361,7,0.33414846562423073
B Cells|Classical Monocytes|CD99|PILRA,B Cells,Classical Monocytes,CD99,PILRA,-0.1377743418674926,-0.40531867607292105,0.12976999233793585,56,0.3128303293720375,0.6476854470457221,11,0.29454830184343,33,0.2558687748539132,5,0.22752806999590075,7,0.32662288487387653
Non-classical Monocytes|pDCs|ITGAL_ITGB2|ICAM3,Non-classical Monocytes,pDCs,ITGAL_ITGB2,ICAM3,-0.14561583969711078,-0.4249058132091932,0.13367413381497162,44,0.3068360669007377,0.6476854470457221,10,0.17732140121367923,22,0.2283792671037346,5,0.09341075081802545,7,0.2900844564051916
Classical Monocytes|pDCs|ITGAL_ITGB2|ICAM3,Classical Monocytes,pDCs,ITGAL_ITGB2,ICAM3,-0.10575382435016584,-0.31233725426915565,0.10082960556882398,43,0.3156962161440231,0.6497468634592103,10,0.09073779329863554,21,0.17628649204703567,5,0.028756261769432225,7,0.22005878486799818
Non-classical Monocytes|NK Cells|ALOX5|ALOX5AP,Non-classical Monocytes,NK Cells,ALOX5,ALOX5AP,-0.1331031441895543,-0.3939881797064061,0.12778189132729748,55,0.31732472974781123,0.6505769555833505,11,0.4046448631996362,32,0.32386446835660165,5,0.21000974985624135,7,0.2623324992027611
CD8 T Cells|NK Cells|CLEC2D|KLRB1,CD8 T Cells,NK Cells,CLEC2D,KLRB1,0.10175171037092495,-0.09970642307549377,0.30320984381734367,55,0.32220775822736725,0.6580473831489693,11,0.7291845920044913,32,0.6862750038187223,5,0.46991271114941996,7,0.32525141259272605
pDCs|pDCs|LGALS9|SLC1A5,pDCs,pDCs,LGALS9,SLC1A5,-0.131429014993878,-0.39499617807374493,0.13213814808598895,39,0.32839821876388076,0.6655704357390102,10,0.04461309935532896,18,0.16822753391839848,5,0.0,6,0.2550434495569475
Classical Monocytes|Classical Monocytes|MIF|TNFRSF14,Classical Monocytes,Classical Monocytes,MIF,TNFRSF14,-0.14371259331725977,-0.43138691132407286,0.14396172468955332,56,0.3275141152554232,0.6655704357390102,11,0.2377428236174694,33,0.3059805946770019,5,0.06622289731606756,7,0.27817326169285983
pDCs|Non-classical Monocytes|LTB|LTBR,pDCs,Non-classical Monocytes,LTB,LTBR,-0.11075734596614845,-0.3370642875519467,0.11554959561964978,44,0.33744288702151826,0.6813010380548524,10,0.4307724159477284,22,0.4169832313677958,5,0.38075499821106507,7,0.4777231595972809
pDCs|pDCs|APP|CD74,pDCs,pDCs,APP,CD74,-0.0172505732088698,-0.05298309928060038,0.01848195286286078,44,0.34404107697551023,0.6887128402375197,10,0.9998597119602698,22,0.9813882946100989,5,0.9993008033791032,7,0.998079959237802
Non-classical Monocytes|Non-classical Monocytes|TNFSF13B|TFRC,Non-classical Monocytes,Non-classical Monocytes,TNFSF13B,TFRC,-0.14224491573391657,-0.43747768111348606,0.15298784964565293,44,0.34500492561804186,0.6887128402375197,9,0.30269118531813116,23,0.35588856754701026,5,0.23074798439416683,7,0.4261902823569625
Classical Monocytes|CD4 T Cells|LGALS9|CD44,Classical Monocytes,CD4 T Cells,LGALS9,CD44,-0.11560809752363377,-0.3544309476895914,0.12321475264232387,56,0.342738131468064,0.6887128402375197,11,0.4055316627118122,33,0.5012521285673781,5,0.3034906207395046,7,0.5148191841187043
Non-classical Monocytes|CD4 T Cells|ALOX5|ALOX5AP,Non-classical Monocytes,CD4 T Cells,ALOX5,ALOX5AP,-0.12114820054501252,-0.3734364052901666,0.13114000420014155,56,0.34661770685788085,0.6893408327398304,11,0.19450075067117617,33,0.23546248473199635,5,0.20210748118786026,7,0.364217415793693
Classical Monocytes|Classical Monocytes|LGALS9|LRP1,Classical Monocytes,Classical Monocytes,LGALS9,LRP1,-0.11261596293183376,-0.3489884698851089,0.1237565440214414,56,0.35041015928455066,0.6929794767328684,11,0.20003087242208287,33,0.3500771435363869,5,0.04357564413849224,7,0.30623787818463005
Non-classical Monocytes|CD8 T Cells|LGALS9|CD47,Non-classical Monocytes,CD8 T Cells,LGALS9,CD47,-0.11783260386363091,-0.3654869670081362,0.12982175928087442,56,0.3510573997008316,0.6929794767328684,11,0.17194376401842357,33,0.26724854048979685,5,0.08456663236895971,7,0.2977040127039639
Non-classical Monocytes|Non-classical Monocytes|GRN|TNFRSF1A,Non-classical Monocytes,Non-classical Monocytes,GRN,TNFRSF1A,0.10540536747006507,-0.11889919958529968,0.32970993452542985,56,0.35703595473481464,0.7021707109784688,11,0.33346441952982286,33,0.50904893971651,5,0.4275589381444057,7,0.49773809086102777
Non-classical Monocytes|Non-classical Monocytes|COPA|CD74,Non-classical Monocytes,Non-classical Monocytes,COPA,CD74,-0.041683802704621575,-0.13146985414381004,0.048102248734566894,56,0.36286101179663643,0.7083794017059336,11,0.7224473193989032,33,0.7397583204109853,5,0.786763367302866,7,0.8457581710195697
NK Cells|Non-classical Monocytes|SEMA4D|PLXNB2,NK Cells,Non-classical Monocytes,SEMA4D,PLXNB2,0.04462425880389603,-0.05145819909469865,0.14070671670249071,54,0.36267486155615514,0.7083794017059336,10,0.0,32,0.014866909887523476,5,0.05607481481932917,7,0.026317465902956614
Non-classical Monocytes|CD8 T Cells|SELL|SELPLG,Non-classical Monocytes,CD8 T Cells,SELL,SELPLG,-0.08520350585914337,-0.26996777297528274,0.09956076125699599,56,0.36608464648123373,0.7094560119764056,11,0.11780927756213976,33,0.19975242696235748,5,0.0,7,0.1671466552593611
CD4 T Cells|CD8 T Cells|SELL|SELPLG,CD4 T Cells,CD8 T Cells,SELL,SELPLG,-0.14919841510130974,-0.4724697991228325,0.17407296892021304,56,0.36569007979291546,0.7094560119764056,11,0.35672575787452554,33,0.33256786463358967,5,0.20303590110212175,7,0.3280764229624956
B Cells|Non-classical Monocytes|MIF|CD74,B Cells,Non-classical Monocytes,MIF,CD74,0.015288672305208695,-0.018103662915044172,0.04868100752546156,56,0.36952203867569355,0.7109282700608452,11,0.973734573713185,33,0.9779932044027777,5,0.9803183162820046,7,0.9692882746663887
Non-classical Monocytes|NK Cells|GRN|TNFRSF1B,Non-classical Monocytes,NK Cells,GRN,TNFRSF1B,0.09053787396224139,-0.10715520470271828,0.28823095262720105,56,0.3693943479231381,0.7109282700608452,11,0.317029584792849,33,0.5591490344427036,5,0.3930957160684234,7,0.5446772917560366
Classical Monocytes|Classical Monocytes|ITGAM_ITGB2|ICAM1,Classical Monocytes,Classical Monocytes,ITGAM_ITGB2,ICAM1,-0.06926503802196556,-0.22282275566370158,0.08429267961977045,46,0.37665417857617134,0.7186821989427769,10,0.0597807123279729,24,0.11241083183340377,5,0.0,7,0.12189515752739642
NK Cells|CD4 T Cells|ITGAL_ITGB2|ICAM3,NK Cells,CD4 T Cells,ITGAL_ITGB2,ICAM3,0.09781563628095719,-0.12009128294977703,0.31572255551169137,56,0.3789661312692608,0.7186821989427769,11,0.10214291989317292,33,0.17289417482621536,5,0.23845346555951047,7,0.21138908421159572
Non-classical Monocytes|CD8 T Cells|GRN|TNFRSF1B,Non-classical Monocytes,CD8 T Cells,GRN,TNFRSF1B,0.1012334218939388,-0.12419431075915155,0.32666115454702915,56,0.37876930469269565,0.7186821989427769,11,0.34545358157505324,33,0.5344819726071409,5,0.3458091744476099,7,0.4336041435857588
B Cells|B Cells|MIF|CD74,B Cells,B Cells,MIF,CD74,0.005048172840177667,-0.006182861249715175,0.01627920693007051,56,0.3783324744665125,0.7186821989427769,11,0.9941190690310419,33,0.9969496455593112,5,0.9942146662390788,7,0.9919970699271705
Non-classical Monocytes|CD8 T Cells|MIF|CD74,Non-classical Monocytes,CD8 T Cells,MIF,CD74,0.08133143276444499,-0.10079322505208979,0.26345609058097974,56,0.3814317034033269,0.720783752694543,11,0.7049663014237499,33,0.8211496276786868,5,0.751016263186876,7,0.7858681566773679
Classical Monocytes|CD8 T Cells|APP|CD74,Classical Monocytes,CD8 T Cells,APP,CD74,-0.10001103223062086,-0.32709351550977306,0.12707145104853138,55,0.38802649295142355,0.7219902375989384,11,0.3354181403592431,32,0.32617017680304067,5,0.3414406879946875,7,0.43220375666910593
Non-classical Monocytes|Non-classical Monocytes|MIF|TNFRSF14,Non-classical Monocytes,Non-classical Monocytes,MIF,TNFRSF14,0.1360533032941022,-0.17431860318960563,0.44642520977781003,56,0.39025145346482304,0.7219902375989384,11,0.1336985101475663,33,0.20039746735130629,5,0.2683039637720947,7,0.19894961768173247
