interaction_id,source,target,ligand_complex,receptor_complex,interaction_coef,interaction_ci95_low,interaction_ci95_high,n_observations,interaction_p_value,fdr_q_value,n_cHD,mean_cHD,n_cSLE,mean_cSLE,n_aHD,mean_aHD,n_aSLE,mean_aSLE
pDCs|Non-classical Monocytes|TNFSF13B|HLA-DPB1,pDCs,Non-classical Monocytes,TNFSF13B,HLA-DPB1,-0.09752008719175476,-0.2656289098013504,0.07058873541784089,43,0.2555479159974222,0.6041248737884441,10,0.752408435563343,21,0.7278742031841162,5,0.8032915803869288,7,0.8762774351994568
Non-classical Monocytes|NK Cells|CLEC2B|KLRF1,Non-classical Monocytes,NK Cells,CLEC2B,KLRF1,-0.15054829738643993,-0.41823167002042966,0.11713507524754979,55,0.2703282509170081,0.6041248737884441,11,0.7820218761146229,33,0.6289852269838064,5,0.39883255542249507,6,0.39634420367811846
pDCs|NK Cells|APP|CD74,pDCs,NK Cells,APP,CD74,-0.05591180699734977,-0.15299326434675736,0.041169650352057816,44,0.25898404258410956,0.6041248737884441,10,0.9058745111696671,22,0.8909834936412886,5,0.8469280186148691,7,0.8879488080838404
Classical Monocytes|Classical Monocytes|APP|CD74,Classical Monocytes,Classical Monocytes,APP,CD74,-0.08454444627252089,-0.23146260066352434,0.06237370811848256,55,0.25937628861931894,0.6041248737884441,11,0.5652285531362881,32,0.548163094365785,5,0.6178730340749622,7,0.68535202157698
B Cells|Non-classical Monocytes|MIF|CD74,B Cells,Non-classical Monocytes,MIF,CD74,0.01740796035777925,-0.014290841566026079,0.04910676228158458,56,0.2817711795047143,0.6269713691143859,11,0.9721231942821159,33,0.978054936335311,5,0.9807364567337924,7,0.9692602384292083
Non-classical Monocytes|Non-classical Monocytes|TNFSF13B|TFRC,Non-classical Monocytes,Non-classical Monocytes,TNFSF13B,TFRC,-0.15641376785891695,-0.44209315634625646,0.12926562062842253,44,0.2832218541005921,0.6274829008952773,9,0.3219432941471011,23,0.3582461088098637,5,0.22787492783493288,7,0.4205915103566124
Classical Monocytes|Non-classical Monocytes|TNFSF13B|HLA-DPB1,Classical Monocytes,Non-classical Monocytes,TNFSF13B,HLA-DPB1,-0.02025507625649492,-0.05735619667798854,0.0168460441649987,56,0.28460692046703095,0.6278453095281283,11,0.9102392111429386,33,0.9051369026364599,5,0.9427024471059291,7,0.9578552148559453
Classical Monocytes|Classical Monocytes|LGALS9|LRP1,Classical Monocytes,Classical Monocytes,LGALS9,LRP1,-0.12918633378953795,-0.36714464914420425,0.10877198156512835,56,0.2873041153828718,0.6306286351549878,11,0.21367061421302572,33,0.3562524288254148,5,0.046982688411241424,7,0.31875083681316846
B Cells|B Cells|MIF|CD74,B Cells,B Cells,MIF,CD74,0.005702009336666425,-0.004823173225918355,0.016227191899251203,56,0.28832243046969286,0.6306286351549878,11,0.9936839450114082,33,0.9968306886648075,5,0.9947791245126381,7,0.9922238588293709
NK Cells|NK Cells|CLEC2B|KLRF1,NK Cells,NK Cells,CLEC2B,KLRF1,0.11888588544748802,-0.10415689586981033,0.3419286667647864,55,0.296163178499357,0.642311703580884,11,0.7829015953003778,33,0.7081109401915809,5,0.48755721462136525,6,0.29388067406508034
NK Cells|NK Cells|KLRF1|CLEC2B,NK Cells,NK Cells,KLRF1,CLEC2B,0.11888588544748802,-0.10415689586981033,0.3419286667647864,55,0.296163178499357,0.642311703580884,11,0.7829015953003778,33,0.7081109401915809,5,0.48755721462136525,6,0.29388067406508034
Non-classical Monocytes|Classical Monocytes|ALOX5|ALOX5AP,Non-classical Monocytes,Classical Monocytes,ALOX5,ALOX5AP,0.13711402431068626,-0.12399972427065459,0.3982277728920271,56,0.3033851996367799,0.6552100529970792,11,0.06454260989906532,33,0.19825966805458192,5,0.1477329159307749,7,0.14433594977560524
B Cells|Non-classical Monocytes|FCER2|ITGAX_ITGB2,B Cells,Non-classical Monocytes,FCER2,ITGAX_ITGB2,-0.13353987419876967,-0.39020358415159656,0.12312383575405722,55,0.30784607019248833,0.656567967132527,11,0.4741906131590065,33,0.23228039894173622,5,0.4188043930248052,6,0.3104340530063046
Classical Monocytes|NK Cells|ITGAL_ITGB2|ICAM3,Classical Monocytes,NK Cells,ITGAL_ITGB2,ICAM3,-0.11296991360704078,-0.3295415406046096,0.10360171339052807,53,0.3066044425491776,0.656567967132527,10,0.521758154533732,31,0.4389897023078879,5,0.39074017256995586,7,0.4209416339511526
Classical Monocytes|B Cells|LGALS9|CD44,Classical Monocytes,B Cells,LGALS9,CD44,0.12276219891305076,-0.11261119728762592,0.35813559511372745,56,0.3066645328504536,0.656567967132527,11,0.15092961660734464,33,0.146357415163458,5,0.3712786411565967,7,0.2439442407996593
Non-classical Monocytes|NK Cells|GRN|TNFRSF1B,Non-classical Monocytes,NK Cells,GRN,TNFRSF1B,0.11769676084801184,-0.11037694809348336,0.34577046978950704,56,0.31180894667664183,0.6622718950074128,11,0.3217634891203227,33,0.5760038454413532,5,0.4120096153799988,7,0.5485532108530174
Classical Monocytes|CD8 T Cells|SELL|SELPLG,Classical Monocytes,CD8 T Cells,SELL,SELPLG,-0.131470355415849,-0.38837026400462504,0.12542955317292703,56,0.31584855343688845,0.6678955629315881,11,0.43470986881324464,33,0.3914249313315863,5,0.30859161952431735,7,0.396777037458508
pDCs|Non-classical Monocytes|MIF|CD74,pDCs,Non-classical Monocytes,MIF,CD74,0.01053939131556303,-0.010106553249530751,0.03118533588065681,44,0.3170554812360068,0.6678955629315881,10,0.9783131036138469,22,0.9805058847976535,5,0.9851102054241174,7,0.976763595292361
CD4 T Cells|Non-classical Monocytes|SELL|SELPLG,CD4 T Cells,Non-classical Monocytes,SELL,SELPLG,-0.16272884073222232,-0.4870868913913106,0.16162920992686597,56,0.32545769272605163,0.6737004678367482,11,0.47151004645318123,33,0.40759711505474794,5,0.2674067482889145,7,0.3662226576227035
Non-classical Monocytes|CD8 T Cells|CD58|CD2,Non-classical Monocytes,CD8 T Cells,CD58,CD2,-0.09294553278294204,-0.2765776352788695,0.09068656971298544,56,0.3211793260148923,0.6737004678367482,11,0.4689956470743564,33,0.38062334313110663,5,0.4841569067978675,7,0.4887301356375598
CD8 T Cells|Non-classical Monocytes|CD99|PILRA,CD8 T Cells,Non-classical Monocytes,CD99,PILRA,-0.17102599264036888,-0.5117648257583444,0.1697128404776066,56,0.3252341782557605,0.6737004678367482,11,0.505951392344202,33,0.43510860347169183,5,0.41120118579017084,7,0.5113843895580296
Non-classical Monocytes|pDCs|ITGAL_ITGB2|ICAM3,Non-classical Monocytes,pDCs,ITGAL_ITGB2,ICAM3,-0.13931008569279216,-0.4175099121535293,0.138889740767945,44,0.32636462352402784,0.6737004678367482,10,0.1828358712160915,22,0.23276388572814125,5,0.10255177919641692,7,0.29178987940125883
Classical Monocytes|NK Cells|LGALS9|CD47,Classical Monocytes,NK Cells,LGALS9,CD47,0.11991215739989491,-0.11849242012851602,0.35831673492830585,56,0.32422246003395894,0.6737004678367482,11,0.13801194392193503,33,0.22620479898923948,5,0.30321055244776157,7,0.2714912501151711
Classical Monocytes|pDCs|HBEGF|CD44,Classical Monocytes,pDCs,HBEGF,CD44,-0.1388536809021318,-0.4182904406623305,0.14058307885806692,41,0.3300977469257905,0.6765409034645592,9,0.39156324154523325,20,0.27498108707957014,5,0.3548645028040317,7,0.3771360292405004
NK Cells|pDCs|MIF|TNFRSF14,NK Cells,pDCs,MIF,TNFRSF14,0.1539837319560757,-0.156078056230294,0.4640455201424454,44,0.3303730871003976,0.6765409034645592,10,0.36260319960824,22,0.3447472246532735,5,0.2980432635471253,7,0.1262035566360831
Classical Monocytes|pDCs|ITGAL_ITGB2|ICAM3,Classical Monocytes,pDCs,ITGAL_ITGB2,ICAM3,-0.09752530606178723,-0.2948881893312788,0.09983757720770435,43,0.33279437751805485,0.6775352234775931,10,0.0846452106438843,21,0.17293446591675338,5,0.029928232072588278,7,0.2157427934072446
B Cells|Classical Monocytes|CD99|PILRA,B Cells,Classical Monocytes,CD99,PILRA,-0.1259715828323102,-0.3812711739629397,0.1293280082983193,56,0.33349496408527446,0.6775352234775931,11,0.3081401497273358,33,0.2611868549169326,5,0.23479163774684791,7,0.31380992576875494
Non-classical Monocytes|Classical Monocytes|ITGAX_ITGB2|ICAM1,Non-classical Monocytes,Classical Monocytes,ITGAX_ITGB2,ICAM1,0.09578753519721941,-0.09943525216951699,0.2910103225639558,46,0.3362148271886386,0.6777036124508244,10,0.03790101550869407,24,0.055670013749242055,5,0.07801853695667142,7,0.0
NK Cells|Non-classical Monocytes|SEMA4D|PLXNB2,NK Cells,Non-classical Monocytes,SEMA4D,PLXNB2,0.04770079604217404,-0.04948608756025457,0.14488767964460264,54,0.33605962986153204,0.6777036124508244,10,0.0,32,0.01727672089085846,5,0.0556510355577295,7,0.025226960406413923
Classical Monocytes|Classical Monocytes|ITGAM_ITGB2|ICAM1,Classical Monocytes,Classical Monocytes,ITGAM_ITGB2,ICAM1,-0.07425544362414312,-0.22632160558782471,0.0778107183395385,46,0.33853181325058435,0.6797084062921889,10,0.07009022571130395,24,0.11223260830969217,5,0.0,7,0.11639782622253134
pDCs|pDCs|APP|CD74,pDCs,pDCs,APP,CD74,-0.0163415396722425,-0.0500894502995558,0.017406370955070798,44,0.3425895370648604,0.6851790741297208,10,0.9998544810961635,22,0.9823493984043957,5,0.9992428957778859,7,0.9980793527583606
Classical Monocytes|pDCs|LGALS9|CD44,Classical Monocytes,pDCs,LGALS9,CD44,0.11037727652696577,-0.12036791824405393,0.34112247129798545,44,0.34847498315503456,0.6871388468540843,10,0.19499373311580664,22,0.27820646710339036,5,0.21639842308982135,7,0.1892338805504393
Classical Monocytes|pDCs|APP|CD74,Classical Monocytes,pDCs,APP,CD74,-0.049855796720629564,-0.1541755991882341,0.05446400574697498,44,0.3489168074492529,0.6871388468540843,10,0.8201397808250064,22,0.8179633628561156,5,0.8123155340959087,7,0.8599949128476475
B Cells|Non-classical Monocytes|GRN|TNFRSF1A,B Cells,Non-classical Monocytes,GRN,TNFRSF1A,0.13817921516174664,-0.15022358847459888,0.42658201879809216,54,0.3477021678399971,0.6871388468540843,10,0.0,32,0.08588579481169648,5,0.18817688997717608,7,0.1358834696271259
CD4 T Cells|B Cells|MIF|CD74,CD4 T Cells,B Cells,MIF,CD74,0.001638550313166398,-0.0017663474756485363,0.005043448101981332,56,0.345578612465509,0.6871388468540843,11,0.9980812629227767,33,0.9989673511273749,5,0.9979360331384355,7,0.9971835710298673
pDCs|Classical Monocytes|COPA|CD74,pDCs,Classical Monocytes,COPA,CD74,0.11600576617152636,-0.1283202210280028,0.3603317533710555,43,0.35206610593186394,0.6906945742327407,10,0.7829808505645351,21,0.6724035285072671,5,0.7068900076090499,7,0.48030691938025544
pDCs|pDCs|LGALS9|SLC1A5,pDCs,pDCs,LGALS9,SLC1A5,-0.12445384388307601,-0.38977166599873336,0.14086397823258134,39,0.3579024584283578,0.6944756226677784,10,0.042269975124872905,18,0.17354451165033463,5,0.0,6,0.25572838040853774
Non-classical Monocytes|NK Cells|APP|CD74,Non-classical Monocytes,NK Cells,APP,CD74,-0.08979503401503608,-0.28079924962137787,0.10120918159130571,49,0.35683138674594983,0.6944756226677784,6,0.457634252914411,31,0.39169328574946943,5,0.3929184123652133,7,0.4167724792153078
pDCs|CD8 T Cells|APP|CD74,pDCs,CD8 T Cells,APP,CD74,-0.053593179314256,-0.1678804890167363,0.0606941303882243,44,0.35804677044155886,0.6944756226677784,10,0.8567456442109224,22,0.8317602642492262,5,0.8296021326842331,7,0.858209932036793
NK Cells|CD8 T Cells|ITGAL_ITGB2|ICAM3,NK Cells,CD8 T Cells,ITGAL_ITGB2,ICAM3,0.1038743585051646,-0.1200809694009575,0.32782968641128674,56,0.36331569498714433,0.6994167311737535,11,0.12808067307120705,33,0.19046355750737756,5,0.2839925933305707,7,0.2425011192615766
Non-classical Monocytes|pDCs|LGALS9|SLC1A5,Non-classical Monocytes,pDCs,LGALS9,SLC1A5,-0.11563476178787313,-0.3646808183200947,0.1334112947443484,39,0.36280544861193265,0.6994167311737535,10,0.3910054763274444,18,0.32605259898533984,5,0.3463297043514254,6,0.39701158879719395
Classical Monocytes|Classical Monocytes|MIF|TNFRSF14,Classical Monocytes,Classical Monocytes,MIF,TNFRSF14,-0.13019547183761015,-0.41173470261147477,0.15134375893625446,56,0.3647405664116713,0.6995397430432799,11,0.25536333230391456,33,0.3157721977248872,5,0.07415883955028812,7,0.2647631768088709
CD4 T Cells|CD4 T Cells|CLEC2D|KLRB1,CD4 T Cells,CD4 T Cells,CLEC2D,KLRB1,-0.12954418318802507,-0.41402037583222356,0.15493200945617341,56,0.37211193863041503,0.70844347270218,11,0.2549633893894081,33,0.18883441347659644,5,0.3886306448290203,7,0.45204585210423376
Classical Monocytes|B Cells|MIF|CD74,Classical Monocytes,B Cells,MIF,CD74,0.01642505129261207,-0.019646086222156675,0.052496188807380814,56,0.37213956737274045,0.70844347270218,11,0.9832141516300634,33,0.9893085240743297,5,0.9681990073273686,7,0.9578683284790228
Classical Monocytes|Non-classical Monocytes|COPA|CD74,Classical Monocytes,Non-classical Monocytes,COPA,CD74,-0.04466415337238172,-0.14329108113087557,0.05396277438611213,56,0.37476211381511726,0.7108034188227685,11,0.7879090894666706,33,0.7756535553327921,5,0.8278776791804778,7,0.8602862984189811
pDCs|Classical Monocytes|TNFSF13B|HLA-DPB1,pDCs,Classical Monocytes,TNFSF13B,HLA-DPB1,-0.14124377297169877,-0.45610544817833254,0.173617902234935,43,0.3792819576111347,0.711119312671801,10,0.42415657689573233,21,0.3384798374400673,5,0.348069856620067,7,0.40363689013610077
CD8 T Cells|Non-classical Monocytes|SEMA4D|PLXNB2,CD8 T Cells,Non-classical Monocytes,SEMA4D,PLXNB2,0.03064825478308185,-0.03784256944527736,0.09913907901144106,56,0.3804626672854966,0.711119312671801,11,0.0,33,0.007396821862863766,5,0.029933874130383974,7,0.0066824412101658915
Classical Monocytes|CD4 T Cells|LGALS9|CD44,Classical Monocytes,CD4 T Cells,LGALS9,CD44,-0.09942993293534358,-0.3208039995103837,0.12194413363969653,56,0.3786882580330745,0.711119312671801,11,0.33249051881677466,33,0.44068272984603524,5,0.2725009162863591,7,0.48012306025096324
NK Cells|NK Cells|ITGAL_ITGB2|ICAM3,NK Cells,NK Cells,ITGAL_ITGB2,ICAM3,0.093466320694428,-0.11456101716845277,0.3014936585573088,56,0.37852980744327835,0.711119312671801,11,0.10273256293152282,33,0.14715508994924897,5,0.2617785369280525,7,0.21273474325135064
Classical Monocytes|Non-classical Monocytes|LGALS9|LRP1,Classical Monocytes,Non-classical Monocytes,LGALS9,LRP1,-0.09475407712676041,-0.30785856843147036,0.11835041417794952,56,0.38349653563329666,0.7141928236069366,11,0.12858527669779665,33,0.3398348067915649,5,0.0042051048967951974,7,0.31020871211732387
NK Cells|Classical Monocytes|ANXA1|FPR1,NK Cells,Classical Monocytes,ANXA1,FPR1,-0.1142565267991007,-0.37437235447167144,0.14585930087347004,56,0.3892826155440423,0.7196449078760688,11,0.4338881493383297,33,0.507455630923222,5,0.5676358041864897,7,0.7554598125704827
B Cells|NK Cells|CLEC2B|KLRF1,B Cells,NK Cells,CLEC2B,KLRF1,0.09687091823565347,-0.12429005392799108,0.318031890399298,55,0.39062437606502565,0.7196449078760688,11,0.6425072709780987,33,0.528923092711898,5,0.390662500164996,6,0.18020740366314184
NK Cells|B Cells|KLRF1|CLEC2B,NK Cells,B Cells,KLRF1,CLEC2B,0.09687091823565347,-0.12429005392799108,0.318031890399298,55,0.39062437606502565,0.7196449078760688,11,0.6425072709780987,33,0.528923092711898,5,0.390662500164996,6,0.18020740366314184
Classical Monocytes|B Cells|TNFSF13B|HLA-DPB1,Classical Monocytes,B Cells,TNFSF13B,HLA-DPB1,-0.008477951493869984,-0.028062101413403925,0.011106198425663957,56,0.39617866339281216,0.7227431237736873,11,0.9601490330369178,33,0.9689345077788584,5,0.957639095256847,7,0.9749025214926575
Classical Monocytes|CD4 T Cells|HBEGF|CD44,Classical Monocytes,CD4 T Cells,HBEGF,CD44,-0.09910722722909349,-0.3282135536340852,0.12999909917589822,50,0.39652443755677014,0.7227431237736873,10,0.3688648378368134,28,0.38622816268200866,5,0.2853124546680334,7,0.40178300674232215
Non-classical Monocytes|Non-classical Monocytes|HBEGF|CD44,Non-classical Monocytes,Non-classical Monocytes,HBEGF,CD44,0.08870304655182121,-0.11628636315687746,0.2936924562605199,45,0.3963734306111091,0.7227431237736873,8,0.46085014857307405,25,0.4684982393473522,5,0.4394250982023758,7,0.3583701424248327
CD8 T Cells|CD8 T Cells|CLEC2D|KLRB1,CD8 T Cells,CD8 T Cells,CLEC2D,KLRB1,-0.08586006973480836,-0.28501371591464714,0.11329357644503041,53,0.39811696933136353,0.723081704015268,11,0.21940258629415565,30,0.164303879408932,5,0.3745615925687948,7,0.40532295541837954
