cluster,assigned_cell_type,marker,n_cells,mean_expression,fraction_expressing
5,Non-classical Monocytes,ALAS2,4847,0.025614445974882397,0.024344955642665568
5,Non-classical Monocytes,PPBP,4847,0.2689824564655663,0.12688260779863833
5,Non-classical Monocytes,PF4,4847,0.18453399980587148,0.09263461935217661
5,Non-classical Monocytes,TUBB1,4847,0.12446222025290062,0.07159067464410976
5,Non-classical Monocytes,LTB,4847,0.6482914734100691,0.48999381060449765
5,Non-classical Monocytes,JUNB,4847,3.0834147014002076,0.9886527749123168
6,NK Cells,CD3D,4516,0.2429993508517267,0.13596102745792737
6,NK Cells,CD3E,4516,0.6555027966482434,0.3421169176262179
6,NK Cells,IL7R,4516,0.17681951317985675,0.10938883968113375
6,NK Cells,CCR7,4516,0.07379197502843672,0.048715677590788306
6,NK Cells,TCF7,4516,0.2775010948322641,0.17227635075287864
6,NK Cells,CD4,4516,0.022329224143226765,0.015057573073516387
6,NK Cells,CD8A,4516,0.31181853124005693,0.17404782993799822
6,NK Cells,CD8B,4516,0.07866155362108093,0.050487156775907885
6,NK Cells,MS4A1,4516,0.01287471456164486,0.007971656333038087
6,NK Cells,CD79A,4516,0.027398788514551173,0.017493356953055803
6,NK Cells,CD37,4516,1.2031398393523915,0.6286536758193091
6,NK Cells,NKG7,4516,4.099370097776131,0.9993356953055802
6,NK Cells,GNLY,4516,4.5858750843151785,0.9911426040744021
6,NK Cells,KLRD1,4516,1.5531829092107166,0.7300708591674048
6,NK Cells,LYZ,4516,0.5441111976114177,0.31155890168290523
6,NK Cells,LST1,4516,0.17561345641807288,0.1100531443755536
6,NK Cells,FCGR3A,4516,1.6003202444241045,0.7030558015943312
6,NK Cells,S100A8,4516,0.4612057748373575,0.2661647475642161
6,NK Cells,S100A9,4516,0.48576706059217667,0.275022143489814
6,NK Cells,FCER1A,4516,0.004697514884338852,0.002878653675819309
6,NK Cells,CD1C,4516,0.002458721214527573,0.001771479185119575
6,NK Cells,GZMB,4516,2.5206655976886343,0.8693534100974314
6,NK Cells,TCF4,4516,0.035034009254643936,0.0245792736935341
6,NK Cells,PLD4,4516,0.004709891823142688,0.002878653675819309
6,NK Cells,IGJ,4516,0.10913201928323513,0.06731620903454384
6,NK Cells,MZB1,4516,0.025007193018843157,0.015943312666076175
6,NK Cells,IGLL5,4516,0.16078157229984197,0.09455270150575731
6,NK Cells,ISG15,4516,0.7435783169193538,0.3848538529672276
6,NK Cells,IFIT1,4516,0.028567521668726413,0.02059344552701506
6,NK Cells,HBA1,4516,0.34751374842689775,0.18113374667847654
6,NK Cells,HBA2,4516,0.5688944807535151,0.26018600531443753
6,NK Cells,HBB,4516,0.738907487269415,0.3062444641275465
6,NK Cells,ALAS2,4516,0.014903087099639582,0.00907883082373782
6,NK Cells,PPBP,4516,0.06715035031362378,0.04118689105403012
6,NK Cells,PF4,4516,0.028585526864543437,0.017936226749335694
6,NK Cells,TUBB1,4516,0.020169500139458608,0.013286093888396812
6,NK Cells,LTB,4516,0.5111700287162994,0.27435783879539416
6,NK Cells,JUNB,4516,2.894721771271172,0.949955713020372
7,CD8 T Cells,CD3D,4249,2.024683191442972,0.9018592610025888
7,CD8 T Cells,CD3E,4249,1.9347710113408678,0.8980936690986114
7,CD8 T Cells,IL7R,4249,1.0372010469787343,0.5410684867027535
7,CD8 T Cells,CCR7,4249,0.13405261823333664,0.08943280771946341
7,CD8 T Cells,TCF7,4249,0.47513293583103,0.3099552835961403
7,CD8 T Cells,CD4,4249,0.056711167854599516,0.040480112967757116
7,CD8 T Cells,CD8A,4249,0.8785516790542414,0.47399388091315603
7,CD8 T Cells,CD8B,4249,0.8700574132856915,0.436337961873382
7,CD8 T Cells,MS4A1,4249,0.04758075780940353,0.03130148270181219
7,CD8 T Cells,CD79A,4249,0.024061029365298945,0.016239115085902565
7,CD8 T Cells,CD37,4249,1.2323653472679086,0.6843963285478937
7,CD8 T Cells,NKG7,4249,2.7134932237222467,0.922334666980466
7,CD8 T Cells,GNLY,4249,0.6702634845447136,0.2977171099082137
7,CD8 T Cells,KLRD1,4249,0.5321149747984413,0.30666039068016004
7,CD8 T Cells,LYZ,4249,0.4897043045604052,0.3071310896681572
7,CD8 T Cells,LST1,4249,0.26766999369229844,0.18027771240291834
7,CD8 T Cells,FCGR3A,4249,0.11601522052167415,0.07554718757354671
7,CD8 T Cells,S100A8,4249,0.44524402903455595,0.27865380089432806
7,CD8 T Cells,S100A9,4249,0.49053206375610914,0.3036008472581784
7,CD8 T Cells,FCER1A,4249,0.004638081355553904,0.0032948929159802307
7,CD8 T Cells,CD1C,4249,0.0029213693625058925,0.002118145445987291
7,CD8 T Cells,GZMB,4249,0.19016791347420392,0.11720404801129677
7,CD8 T Cells,TCF4,4249,0.003932241861554812,0.002824193927983055
7,CD8 T Cells,PLD4,4249,0.004486685305321797,0.0032948929159802307
7,CD8 T Cells,IGJ,4249,0.09675590940491399,0.06754530477759473
7,CD8 T Cells,MZB1,4249,0.025700057189754665,0.018357260531889855
7,CD8 T Cells,IGLL5,4249,0.12729926813796258,0.08496116733349024
7,CD8 T Cells,ISG15,4249,0.6846924247980735,0.3798540833137209
7,CD8 T Cells,IFIT1,4249,0.027760776597546194,0.020475405977877146
7,CD8 T Cells,HBA1,4249,0.26128154573622353,0.1572134619910567
7,CD8 T Cells,HBA2,4249,0.4783565046423097,0.23464344551659214
7,CD8 T Cells,HBB,4249,0.6980552210558665,0.31042598258413745
7,CD8 T Cells,ALAS2,4249,0.01252515856365115,0.009178630265944928
7,CD8 T Cells,PPBP,4249,0.040251137481405755,0.028241939279830548
7,CD8 T Cells,PF4,4249,0.027668802492420486,0.01906330901388562
7,CD8 T Cells,TUBB1,4249,0.01387514518720735,0.009884678747940691
7,CD8 T Cells,LTB,4249,1.6462778536031655,0.7060484819957638
7,CD8 T Cells,JUNB,4249,3.5170122060980002,0.9889385737820664
8,B Cells,CD3D,3126,0.13839542148819506,0.0927703134996801
8,B Cells,CD3E,3126,0.14545193400355538,0.09884836852207293
8,B Cells,IL7R,3126,0.10659132214288107,0.07165706973768395
8,B Cells,CCR7,3126,0.3952228142257234,0.24312220089571338
8,B Cells,TCF7,3126,0.14836808051425374,0.10684580934101087
8,B Cells,CD4,3126,0.02018171798626124,0.01471529110684581
8,B Cells,CD8A,3126,0.025860355248149204,0.01983365323096609
8,B Cells,CD8B,3126,0.024617583064871267,0.018234165067178502
8,B Cells,MS4A1,3126,1.8631152029382214,0.8509277031349968
8,B Cells,CD79A,3126,2.474451269446774,0.9545745361484325
