group,names,scores,logfoldchanges,pvals,pvals_adj
6,GZMA,177.1271,4.780161,0.0,0.0
6,CD7,164.96513,2.9238503,0.0,0.0
6,KLRB1,161.20082,4.5258436,0.0,0.0
6,KLRF1,161.15758,7.042323,0.0,0.0
6,B2M,160.97105,0.90552384,0.0,0.0
6,HOPX,157.99551,4.6668305,0.0,0.0
6,HLA-C,157.42284,1.2706436,0.0,0.0
6,KLRD1,155.92363,4.774171,0.0,0.0
6,SPON2,153.7313,5.452219,0.0,0.0
6,PFN1,153.36221,1.48245,0.0,0.0
6,FGFBP2,151.98131,4.9481263,0.0,0.0
6,IFITM2,149.24646,2.2097979,0.0,0.0
6,HLA-A,148.28369,1.1497442,0.0,0.0
6,HCST,146.2695,2.1296637,0.0,0.0
7,AIF1,185.01561,4.4364147,0.0,0.0
7,LST1,183.71031,4.8305717,0.0,0.0
7,PSAP,180.6226,3.8180375,0.0,0.0
7,FTL,179.6094,3.0231953,0.0,0.0
7,CST3,178.76991,5.06649,0.0,0.0
7,FCER1G,178.7202,4.4507384,0.0,0.0
7,FTH1,176.25343,2.430588,0.0,0.0
7,S100A11,175.42487,3.9283798,0.0,0.0
7,CTSS,173.63731,3.9377875,0.0,0.0
7,TYROBP,172.74603,4.612304,0.0,0.0
7,SERPINA1,170.86646,4.551532,0.0,0.0
7,COTL1,169.35437,3.1617298,0.0,0.0
7,SAT1,168.4824,3.4631398,0.0,0.0
7,CFD,164.14363,4.4079633,0.0,0.0
7,NPC2,163.91743,3.4413733,0.0,0.0
7,FCN1,162.64737,4.462367,0.0,0.0
7,OAZ1,162.62257,1.9401866,0.0,0.0
7,SPI1,162.40695,4.1755238,0.0,0.0
7,S100A6,162.21977,2.7975662,0.0,0.0
7,S100A4,162.15288,3.0239563,0.0,0.0
8,HLA-DRB1,75.3638,4.7119117,0.0,0.0
8,HLA-DPB1,75.34012,4.6825786,0.0,0.0
8,HLA-DRA,75.15599,5.022146,0.0,0.0
8,HLA-DPA1,75.00126,4.741802,0.0,0.0
8,CST3,74.51762,5.2905855,0.0,0.0
8,CD74,71.915955,4.326421,0.0,0.0
8,HLA-DQB1,70.68101,4.4326935,0.0,0.0
8,HLA-DQA1,69.97912,4.9618506,0.0,0.0
8,HLA-DMA,68.84193,3.8388069,0.0,0.0
8,VIM,66.897514,2.668763,0.0,0.0
8,COTL1,66.29793,2.9027433,0.0,0.0
8,FCER1A,64.22103,8.83619,0.0,0.0
8,ANXA2,63.89691,3.3625078,0.0,0.0
8,GRN,63.621067,3.530257,0.0,0.0
8,CPVL,63.18652,4.257924,0.0,0.0
8,KLF4,62.16121,3.6036968,0.0,0.0
8,HLA-DMB,61.879364,3.572506,0.0,0.0
8,GSTP1,61.837048,2.786535,0.0,0.0
8,ACTB,61.728207,1.6297764,0.0,0.0
8,ARPC1B,61.68236,2.147846,0.0,0.0
9,HBA1,62.693905,13.504595,0.0,0.0
9,SLC25A37,61.380127,7.4790945,0.0,0.0
9,UBB,57.64519,3.9851906,0.0,0.0
9,SNCA,55.89001,9.400631,0.0,0.0
9,FKBP8,54.72862,3.9014359,0.0,0.0
9,SLC25A39,54.143696,5.508524,0.0,0.0
9,ADIPOR1,45.850647,4.75364,0.0,0.0
9,STRADB,45.178097,5.898895,0.0,0.0
9,DCAF12,44.67489,6.686776,0.0,0.0
9,BNIP3L,43.987125,4.2745543,0.0,0.0
9,MKRN1,43.89073,4.038057,0.0,0.0
9,GYPC,42.9133,2.9821694,0.0,0.0
9,FBXO7,42.842358,4.123685,0.0,0.0
9,YBX3,42.09868,3.8854167,0.0,0.0
9,BLVRB,38.963676,4.201589,0.0,0.0
