sample,cluster,assigned_cell_type,excluded,n_cells
GSM4029910_JB17021,1,Ribosomal/Low-quality,True,356
GSM4029910_JB17021,10,Platelets,True,42
GSM4029910_JB17021,11,Plasma Cells,False,8
GSM4029910_JB17021,12,IFN-stimulated T Cells,False,38
GSM4029910_JB17021,13,pDCs,False,19
GSM4029910_JB17021,2,Classical Monocytes,False,1362
GSM4029910_JB17021,3,B Cells,False,26
GSM4029910_JB17021,4,CD4 T Cells,False,510
GSM4029910_JB17021,5,CD8 T Cells,False,774
GSM4029910_JB17021,6,NK Cells,False,494
GSM4029910_JB17021,7,Non-classical Monocytes,False,398
GSM4029910_JB17021,8,cDCs,False,67
GSM4029910_JB17021,9,RBCs,True,2
GSM4029911_JB17022,0,Ribosomal/Low-quality,True,2540
GSM4029911_JB17022,1,Ribosomal/Low-quality,True,1267
GSM4029911_JB17022,10,Platelets,True,17
GSM4029911_JB17022,11,Plasma Cells,False,3
GSM4029911_JB17022,12,IFN-stimulated T Cells,False,11
GSM4029911_JB17022,13,pDCs,False,11
GSM4029911_JB17022,2,Classical Monocytes,False,311
GSM4029911_JB17022,3,B Cells,False,489
GSM4029911_JB17022,4,CD4 T Cells,False,471
GSM4029911_JB17022,5,CD8 T Cells,False,785
GSM4029911_JB17022,6,NK Cells,False,274
GSM4029911_JB17022,7,Non-classical Monocytes,False,64
GSM4029911_JB17022,8,cDCs,False,19
GSM4029911_JB17022,9,RBCs,True,2
GSM4029912_JB17023,0,Ribosomal/Low-quality,True,2162
GSM4029912_JB17023,1,Ribosomal/Low-quality,True,1289
GSM4029912_JB17023,10,Platelets,True,9
GSM4029912_JB17023,11,Plasma Cells,False,3
GSM4029912_JB17023,12,IFN-stimulated T Cells,False,70
GSM4029912_JB17023,13,pDCs,False,9
GSM4029912_JB17023,2,Classical Monocytes,False,299
GSM4029912_JB17023,3,B Cells,False,586
GSM4029912_JB17023,4,CD4 T Cells,False,543
GSM4029912_JB17023,5,CD8 T Cells,False,178
GSM4029912_JB17023,6,NK Cells,False,152
GSM4029912_JB17023,7,Non-classical Monocytes,False,152
GSM4029912_JB17023,8,cDCs,False,20
GSM4029912_JB17023,9,RBCs,True,5
GSM4029913_JB17024,0,Ribosomal/Low-quality,True,1450
GSM4029913_JB17024,1,Ribosomal/Low-quality,True,1304
GSM4029913_JB17024,10,Platelets,True,49
GSM4029913_JB17024,11,Plasma Cells,False,4
GSM4029913_JB17024,12,IFN-stimulated T Cells,False,36
GSM4029913_JB17024,13,pDCs,False,11
GSM4029913_JB17024,2,Classical Monocytes,False,960
GSM4029913_JB17024,3,B Cells,False,1014
GSM4029913_JB17024,4,CD4 T Cells,False,429
GSM4029913_JB17024,5,CD8 T Cells,False,82
GSM4029913_JB17024,6,NK Cells,False,257
GSM4029913_JB17024,7,Non-classical Monocytes,False,313
GSM4029913_JB17024,8,cDCs,False,39
GSM4029913_JB17024,9,RBCs,True,2
GSM4029914_JB17017,0,Ribosomal/Low-quality,True,2951
GSM4029914_JB17017,1,Ribosomal/Low-quality,True,2042
GSM4029914_JB17017,10,Platelets,True,5
GSM4029914_JB17017,11,Plasma Cells,False,44
GSM4029914_JB17017,12,IFN-stimulated T Cells,False,16
GSM4029914_JB17017,13,pDCs,False,29
GSM4029914_JB17017,2,Classical Monocytes,False,373
GSM4029914_JB17017,3,B Cells,False,1204
GSM4029914_JB17017,4,CD4 T Cells,False,641
GSM4029914_JB17017,5,CD8 T Cells,False,655
GSM4029914_JB17017,6,NK Cells,False,309
GSM4029914_JB17017,7,Non-classical Monocytes,False,180
GSM4029914_JB17017,8,cDCs,False,88
GSM4029914_JB17017,9,RBCs,True,3
GSM4029915_JB17018,0,Ribosomal/Low-quality,True,2458
GSM4029915_JB17018,1,Ribosomal/Low-quality,True,2108
GSM4029915_JB17018,10,Platelets,True,53
GSM4029915_JB17018,11,Plasma Cells,False,8
GSM4029915_JB17018,12,IFN-stimulated T Cells,False,6
GSM4029915_JB17018,13,pDCs,False,43
GSM4029915_JB17018,2,Classical Monocytes,False,692
GSM4029915_JB17018,3,B Cells,False,743
GSM4029915_JB17018,4,CD4 T Cells,False,717
GSM4029915_JB17018,5,CD8 T Cells,False,518
GSM4029915_JB17018,6,NK Cells,False,938
GSM4029915_JB17018,7,Non-classical Monocytes,False,158
GSM4029915_JB17018,8,cDCs,False,85
GSM4029915_JB17018,9,RBCs,True,2
GSM4029916_JB18063,0,Ribosomal/Low-quality,True,218
GSM4029916_JB18063,1,Ribosomal/Low-quality,True,151
GSM4029916_JB18063,10,Platelets,True,7
GSM4029916_JB18063,11,Plasma Cells,False,178
GSM4029916_JB18063,12,IFN-stimulated T Cells,False,23
GSM4029916_JB18063,13,pDCs,False,6
GSM4029916_JB18063,2,Classical Monocytes,False,644
GSM4029916_JB18063,3,B Cells,False,758
GSM4029916_JB18063,4,CD4 T Cells,False,362
GSM4029916_JB18063,5,CD8 T Cells,False,247
GSM4029916_JB18063,6,NK Cells,False,163
GSM4029916_JB18063,7,Non-classical Monocytes,False,220
GSM4029916_JB18063,8,cDCs,False,31
GSM4029916_JB18063,9,RBCs,True,1
GSM4029917_JB18064,0,Ribosomal/Low-quality,True,1194
GSM4029917_JB18064,1,Ribosomal/Low-quality,True,988
GSM4029917_JB18064,10,Platelets,True,34
GSM4029917_JB18064,11,Plasma Cells,False,133
GSM4029917_JB18064,12,IFN-stimulated T Cells,False,92
GSM4029917_JB18064,13,pDCs,False,15
GSM4029917_JB18064,2,Classical Monocytes,False,719
GSM4029917_JB18064,3,B Cells,False,322
GSM4029917_JB18064,4,CD4 T Cells,False,1471
GSM4029917_JB18064,5,CD8 T Cells,False,937
GSM4029917_JB18064,6,NK Cells,False,291
GSM4029917_JB18064,7,Non-classical Monocytes,False,434
GSM4029917_JB18064,8,cDCs,False,45
GSM4029917_JB18064,9,RBCs,True,14
GSM4029918_JB18065,0,Ribosomal/Low-quality,True,1544
GSM4029918_JB18065,1,Ribosomal/Low-quality,True,1204
GSM4029918_JB18065,10,Platelets,True,23
