sample,cell_type,n_cells,proportion_within_sample
GSM4029922_JB18069,CD4 T Cells,868,0.27269871190700595
GSM4029922_JB18069,CD8 T Cells,373,0.11718504555450833
GSM4029922_JB18069,Classical Monocytes,526,0.16525290606346213
GSM4029922_JB18069,IFN-stimulated T Cells,16,0.005026704366949419
GSM4029922_JB18069,NK Cells,662,0.2079798931825322
GSM4029922_JB18069,Non-classical Monocytes,228,0.07163053722902922
GSM4029922_JB18069,Plasma Cells,6,0.001885014137606032
GSM4029922_JB18069,cDCs,41,0.012880929940307886
GSM4029922_JB18069,pDCs,10,0.0031416902293433867
GSM4029923_JB18070,B Cells,477,0.13988269794721409
GSM4029923_JB18070,CD4 T Cells,566,0.16598240469208211
GSM4029923_JB18070,CD8 T Cells,765,0.22434017595307917
GSM4029923_JB18070,Classical Monocytes,594,0.17419354838709677
GSM4029923_JB18070,IFN-stimulated T Cells,7,0.0020527859237536657
GSM4029923_JB18070,NK Cells,673,0.1973607038123167
GSM4029923_JB18070,Non-classical Monocytes,243,0.07126099706744868
GSM4029923_JB18070,Plasma Cells,12,0.0035190615835777126
GSM4029923_JB18070,cDCs,49,0.01436950146627566
GSM4029923_JB18070,pDCs,24,0.007038123167155425
GSM4029924_JB18071,B Cells,1055,0.28306949288972366
GSM4029924_JB18071,CD4 T Cells,463,0.12422860209283607
GSM4029924_JB18071,CD8 T Cells,913,0.24496914408371345
GSM4029924_JB18071,Classical Monocytes,476,0.12771666219479474
GSM4029924_JB18071,IFN-stimulated T Cells,44,0.011805741883552455
GSM4029924_JB18071,NK Cells,475,0.12744834987925946
GSM4029924_JB18071,Non-classical Monocytes,240,0.06439495572846794
GSM4029924_JB18071,Plasma Cells,42,0.011269117252481888
GSM4029924_JB18071,cDCs,14,0.003756372417493963
GSM4029924_JB18071,pDCs,5,0.0013415615776764154
GSM4029925_JB18072,B Cells,614,0.17079276773296245
GSM4029925_JB18072,CD4 T Cells,574,0.15966620305980528
GSM4029925_JB18072,CD8 T Cells,436,0.12127955493741308
GSM4029925_JB18072,Classical Monocytes,1293,0.3596662030598053
GSM4029925_JB18072,IFN-stimulated T Cells,24,0.006675938803894298
GSM4029925_JB18072,NK Cells,158,0.04394993045897079
GSM4029925_JB18072,Non-classical Monocytes,393,0.10931849791376913
GSM4029925_JB18072,Plasma Cells,19,0.005285118219749653
GSM4029925_JB18072,cDCs,72,0.020027816411682893
GSM4029925_JB18072,pDCs,12,0.003337969401947149
GSM4029926_JB18073,B Cells,842,0.24764705882352941
GSM4029926_JB18073,CD4 T Cells,636,0.18705882352941178
GSM4029926_JB18073,CD8 T Cells,308,0.09058823529411765
GSM4029926_JB18073,Classical Monocytes,784,0.23058823529411765
GSM4029926_JB18073,IFN-stimulated T Cells,65,0.01911764705882353
GSM4029926_JB18073,NK Cells,241,0.07088235294117647
GSM4029926_JB18073,Non-classical Monocytes,435,0.12794117647058822
GSM4029926_JB18073,Plasma Cells,46,0.013529411764705882
GSM4029926_JB18073,cDCs,30,0.008823529411764706
GSM4029926_JB18073,pDCs,13,0.003823529411764706
GSM4029927_JB18074,B Cells,697,0.17654508611955422
GSM4029927_JB18074,CD4 T Cells,656,0.1661600810536981
GSM4029927_JB18074,CD8 T Cells,639,0.16185410334346503
GSM4029927_JB18074,Classical Monocytes,1086,0.2750759878419453
