cluster,assigned_cell_type,marker,n_cells,mean_expression,fraction_expressing
3,B Cells,TCF7,29889,0.16083580560621027,0.11030814011843822
3,B Cells,CD4,29889,0.015300174685806248,0.011241593897420455
3,B Cells,CD8A,29889,0.03092307824712634,0.022148616547893876
3,B Cells,CD8B,29889,0.05118319761629841,0.03650172304192178
3,B Cells,MS4A1,29889,1.8906688823428022,0.8387032018468333
3,B Cells,CD79A,29889,2.652226703464257,0.9625949345913212
3,B Cells,CD37,29889,2.9398142965122553,0.986115293251698
3,B Cells,NKG7,29889,0.28963778879169544,0.18458295694068053
3,B Cells,GNLY,29889,0.34821316301912403,0.2175716818896584
3,B Cells,KLRD1,29889,0.0262166652127369,0.018234132958613536
3,B Cells,LYZ,29889,0.6064407722489481,0.362173374820168
3,B Cells,LST1,29889,0.27368550582338724,0.17872796011910735
3,B Cells,FCGR3A,29889,0.03447019206926771,0.02362073003446084
3,B Cells,S100A8,29889,0.6276287177548387,0.3633778313091773
3,B Cells,S100A9,29889,0.7843074347416169,0.43460804978420153
3,B Cells,FCER1A,29889,0.004991046426494777,0.0034126267188597814
3,B Cells,CD1C,29889,0.11470206893955326,0.0778881862892703
3,B Cells,GZMB,29889,0.07326429016520959,0.04951654454816153
3,B Cells,TCF4,29889,0.3613267128132295,0.23527050085315668
3,B Cells,PLD4,29889,0.227351825862416,0.14644183478871825
3,B Cells,IGJ,29889,0.7987114650877941,0.41048546287932014
3,B Cells,MZB1,29889,0.33520631553210284,0.21268694168423166
3,B Cells,IGLL5,29889,1.48865150232346,0.5819532269396768
3,B Cells,ISG15,29889,0.6773576437180596,0.35441132189099667
3,B Cells,IFIT1,29889,0.06960207398484425,0.0457024323329653
3,B Cells,HBA1,29889,0.19328514489617368,0.10391782930174981
3,B Cells,PPBP,29889,0.02874511963924929,0.017966475961055908
3,B Cells,PF4,29889,0.019239335664920615,0.011709993643146307
3,B Cells,TUBB1,29889,0.009790206992289968,0.006189568068520192
3,B Cells,LTB,29889,2.366234129691412,0.8941751145906521
3,B Cells,JUNB,29889,3.1648033045686224,0.9465355147378635
4,CD4 T Cells,CD3D,28319,1.9307263263614127,0.9045870263780501
4,CD4 T Cells,CD3E,28319,1.754797324052558,0.8795155196158057
4,CD4 T Cells,IL7R,28319,1.4752607950925272,0.7380204103252234
4,CD4 T Cells,CCR7,28319,0.37647544619954487,0.26335675694763233
4,CD4 T Cells,TCF7,28319,0.6839288017980594,0.46184540414562664
4,CD4 T Cells,CD4,28319,0.2703952826802906,0.20696352272326
4,CD4 T Cells,CD8A,28319,0.08043106097398224,0.05755852960909637
4,CD4 T Cells,CD8B,28319,0.10622369188167748,0.07479077651047
4,CD4 T Cells,MS4A1,28319,0.031900398058298425,0.025883682333415727
4,CD4 T Cells,CD79A,28319,0.07930525717084415,0.061442847558176486
4,CD4 T Cells,CD37,28319,1.468229514039347,0.8064197182103888
4,CD4 T Cells,NKG7,28319,0.38273376929414377,0.2545287616088139
4,CD4 T Cells,GNLY,28319,0.41318088444622353,0.2662523394187648
4,CD4 T Cells,KLRD1,28319,0.035599527490051026,0.02764928140117942
4,CD4 T Cells,LYZ,28319,0.574248978727437,0.3841943571453794
4,CD4 T Cells,LST1,28319,0.2953906933976296,0.22211236272467247
4,CD4 T Cells,FCGR3A,28319,0.03594496528012229,0.030438927928246054
4,CD4 T Cells,S100A8,28319,0.5680579785092486,0.3718351636710336
4,CD4 T Cells,S100A9,28319,0.7261534669716743,0.44803841943571454
4,CD4 T Cells,FCER1A,28319,0.0066648641745709674,0.0054733571100674455
4,CD4 T Cells,CD1C,28319,0.0046403680721949616,0.003849005967724849
4,CD4 T Cells,GZMB,28319,0.0894994597477261,0.06536247748861189
4,CD4 T Cells,TCF4,28319,0.00708982876631124,0.006179596737172922
4,CD4 T Cells,PLD4,28319,0.006398812118966244,0.00533210918464635
4,CD4 T Cells,IGJ,28319,0.17188473838320004,0.12412161446378757
4,CD4 T Cells,MZB1,28319,0.051684667146000896,0.043469049048342104
4,CD4 T Cells,IGLL5,28319,0.2318891693063028,0.15763268476994244
4,CD4 T Cells,ISG15,28319,0.9663543295679702,0.5184858222394858
4,CD4 T Cells,IFIT1,28319,0.06898520120502996,0.053356403827818775
4,CD4 T Cells,HBA1,28319,0.24351131545135146,0.14124792542109538
4,CD4 T Cells,PPBP,28319,0.028321825609549302,0.022069988347046154
4,CD4 T Cells,PF4,28319,0.018104788896630784,0.013806984709912073
4,CD4 T Cells,TUBB1,28319,0.0080943426544238,0.0066033405134362086
4,CD4 T Cells,LTB,28319,2.925799345020066,0.9699848158480172
4,CD4 T Cells,JUNB,28319,3.2148044450599436,0.966206433843003
5,CD8 T Cells,CD3D,25501,2.266361966113858,0.9033371240343516
5,CD8 T Cells,CD3E,25501,1.8598652604322687,0.8387514215128818
5,CD8 T Cells,IL7R,25501,0.41981564947709976,0.23257911454452768
5,CD8 T Cells,CCR7,25501,0.05194116006046738,0.03564566095447237
5,CD8 T Cells,TCF7,25501,0.3200525029968418,0.20065879769420808
5,CD8 T Cells,CD4,25501,0.03520030286128762,0.02415591545429591
5,CD8 T Cells,CD8A,25501,1.1866920952712605,0.5759774126504843
5,CD8 T Cells,CD8B,25501,1.0590645124933673,0.5186463275949963
5,CD8 T Cells,MS4A1,25501,0.03407368806033858,0.022234422179522373
5,CD8 T Cells,CD79A,25501,0.05505010881244816,0.036704442963021056
5,CD8 T Cells,CD37,25501,1.3689715505034301,0.7054233167326771
5,CD8 T Cells,NKG7,25501,3.852755790266129,0.9958433002627348
5,CD8 T Cells,GNLY,25501,2.643767230305306,0.7270303125367633
5,CD8 T Cells,KLRD1,25501,1.0941222374576955,0.5572722638327908
5,CD8 T Cells,LYZ,25501,0.6169924094281399,0.3537116191521901
5,CD8 T Cells,LST1,25501,0.19149769707233932,0.12340692521861887
5,CD8 T Cells,FCGR3A,25501,0.5910355130177722,0.3177522450099996
5,CD8 T Cells,S100A8,25501,0.6212197666817808,0.35237833810438807
5,CD8 T Cells,S100A9,25501,0.7667931200258825,0.4152386180934081
5,CD8 T Cells,FCER1A,25501,0.0056824652565530195,0.003686129955688012
5,CD8 T Cells,CD1C,25501,0.004201447894529176,0.002666562095604094
5,CD8 T Cells,GZMB,25501,1.3994461575817452,0.5955060585859379
5,CD8 T Cells,TCF4,25501,0.006049877075367191,0.004078271440335673
5,CD8 T Cells,PLD4,25501,0.00597316074369468,0.003921414846476609
5,CD8 T Cells,IGJ,25501,0.18677316792155896,0.11466217011097604
5,CD8 T Cells,MZB1,25501,0.04838700127561421,0.03317516960119211
5,CD8 T Cells,IGLL5,25501,0.2602466977202169,0.15375867613034783
5,CD8 T Cells,ISG15,25501,1.0200256991795917,0.49103956707580093
5,CD8 T Cells,IFIT1,25501,0.07062120467960814,0.044978628289086706
5,CD8 T Cells,HBA1,25501,0.3372438489925646,0.17018940433708482
5,CD8 T Cells,PPBP,25501,0.0345376670129168,0.02125406846790322
5,CD8 T Cells,PF4,25501,0.021696984185914817,0.012940668993372808
5,CD8 T Cells,TUBB1,25501,0.01077122159539183,0.006744833535939767
5,CD8 T Cells,LTB,25501,0.6440809470995478,0.3469275714677856
5,CD8 T Cells,JUNB,25501,2.919503720158395,0.9282381083094781
6,NK Cells,CD3D,16526,0.42614109198860695,0.20694662955343096
6,NK Cells,CD3E,16526,0.5977379889338469,0.30818104804550406
6,NK Cells,IL7R,16526,0.18283686239480193,0.10795110734600025
6,NK Cells,CCR7,16526,0.05349083897797115,0.03576182984388237
6,NK Cells,TCF7,16526,0.2679932002029104,0.1692484569768849
6,NK Cells,CD4,16526,0.01642703532480117,0.01119448142321191
6,NK Cells,CD8A,16526,0.21303928960946517,0.12549921336076486
6,NK Cells,CD8B,16526,0.09392838797896189,0.05881641050465933
6,NK Cells,MS4A1,16526,0.03134977309348637,0.020815684376134576
6,NK Cells,CD79A,16526,0.06798188177534877,0.044959457824034856
6,NK Cells,CD37,16526,1.3042730026097675,0.676207188672395
6,NK Cells,NKG7,16526,4.241305981701055,0.9932228004356771
6,NK Cells,GNLY,16526,4.599288664216296,0.9856589616362096
6,NK Cells,KLRD1,16526,1.6862755409005363,0.7812537819193998
6,NK Cells,LYZ,16526,0.5468216941299817,0.3196175723102989
6,NK Cells,LST1,16526,0.21333112332775592,0.1340312235265642
6,NK Cells,FCGR3A,16526,1.569706474059029,0.7088829722860946
6,NK Cells,S100A8,16526,0.5607077176704629,0.3206462543870265
6,NK Cells,S100A9,16526,0.7462956568713801,0.40227520271087985
6,NK Cells,FCER1A,16526,0.005517725947837225,0.003509621202952923
6,NK Cells,CD1C,16526,0.003552029644420097,0.002238896284642382
6,NK Cells,GZMB,16526,2.731498054311565,0.8965266852232845
6,NK Cells,TCF4,16526,0.023597470244714428,0.01627738109645407
6,NK Cells,PLD4,16526,0.0065615338374898115,0.004356771148493283
6,NK Cells,IGJ,16526,0.1550095031430383,0.09603049739803945
6,NK Cells,MZB1,16526,0.04784621165405531,0.03237323006172092
6,NK Cells,IGLL5,16526,0.20784025463197503,0.12428899915285005
6,NK Cells,ISG15,16526,1.0722972745542216,0.5113760135543991
6,NK Cells,IFIT1,16526,0.056325458984722396,0.03830327968050345
6,NK Cells,HBA1,16526,0.3029292495944923,0.15418129008834563
6,NK Cells,PPBP,16526,0.027633916313879344,0.016156359675662594
6,NK Cells,PF4,16526,0.020313999968955436,0.01167856710637783
6,NK Cells,TUBB1,16526,0.010011426912415307,0.006172092460365485
6,NK Cells,LTB,16526,0.5056528974557549,0.28403727459760375
6,NK Cells,JUNB,16526,2.6737974365571504,0.9089313808544113
7,Non-classical Monocytes,CD3D,14201,0.18085598043006673,0.15872121681571721
7,Non-classical Monocytes,CD3E,14201,0.11219081076112702,0.1002746285472854
7,Non-classical Monocytes,IL7R,14201,0.0781990989069982,0.06992465319343708
7,Non-classical Monocytes,CCR7,14201,0.037314499507831125,0.03549045841842124
7,Non-classical Monocytes,TCF7,14201,0.08016411659499473,0.07612139990141539
7,Non-classical Monocytes,CD4,14201,0.4705137440049558,0.3822970213365256
7,Non-classical Monocytes,CD8A,14201,0.034489312326645365,0.032462502640659106
7,Non-classical Monocytes,CD8B,14201,0.05351508973047906,0.049926061544961625
7,Non-classical Monocytes,MS4A1,14201,0.03892794658781634,0.034786282656150976
7,Non-classical Monocytes,CD79A,14201,0.06918533565368327,0.06422082951904795
7,Non-classical Monocytes,CD37,14201,1.723981523159549,0.8788817688895149
7,Non-classical Monocytes,NKG7,14201,0.4918383574512641,0.3730019012745581
7,Non-classical Monocytes,GNLY,14201,0.3905477250334193,0.3130765439053588
7,Non-classical Monocytes,KLRD1,14201,0.025920019534832743,0.02506865713682135
7,Non-classical Monocytes,LYZ,14201,3.9670249576904717,0.9888036053799029
