group,names,scores,logfoldchanges,pvals,pvals_adj
8,HLA-DPA1,83.58124,4.1060925,0.0,0.0
8,HLA-DQB1,80.84867,4.5480876,0.0,0.0
8,MS4A1,80.30145,8.456833,0.0,0.0
8,HLA-DQA1,78.00771,5.1483555,0.0,0.0
8,HLA-DRB1,77.68063,3.8955362,0.0,0.0
8,CD37,75.84688,2.3352308,0.0,0.0
8,CD79B,73.43504,5.2431235,0.0,0.0
8,RPS11,61.15858,0.97737926,0.0,0.0
8,HLA-DMA,57.31076,3.1757984,0.0,0.0
8,RPL18A,55.30266,0.7206326,0.0,0.0
8,RPS23,53.81101,0.77873313,0.0,0.0
8,RPL8,51.025078,0.71303076,0.0,0.0
8,RPS5,49.393673,0.9629952,0.0,0.0
8,BANK1,49.39013,7.3788056,0.0,0.0
8,HLA-DMB,48.784935,3.3535984,0.0,0.0
8,RPL13A,46.652332,0.6045261,0.0,0.0
9,HBA2,56.671852,11.780058,0.0,0.0
9,HBB,56.658665,11.985665,0.0,0.0
9,HBA1,56.583652,12.217913,0.0,0.0
9,SLC25A37,54.74188,6.175541,0.0,0.0
9,ALAS2,52.925793,10.387102,0.0,0.0
9,SNCA,52.268658,8.371372,0.0,0.0
9,HBD,51.303505,10.756567,0.0,0.0
9,SLC25A39,49.79117,4.469954,0.0,0.0
9,UBB,48.537693,2.6314569,0.0,0.0
9,ADIPOR1,44.0396,3.7770452,0.0,0.0
9,DCAF12,43.67416,5.841457,0.0,0.0
9,GMPR,42.77993,6.7730536,0.0,0.0
9,STRADB,42.6861,5.2363973,0.0,0.0
9,BNIP3L,41.960133,3.5490212,0.0,0.0
9,MPP1,41.35228,4.928044,0.0,0.0
9,FBXO7,41.0311,3.3760002,0.0,0.0
9,BLVRB,40.962578,3.850176,0.0,0.0
9,YBX3,40.744038,3.6073546,0.0,0.0
9,MKRN1,40.512882,3.158326,0.0,0.0
9,GLRX5,40.272503,4.149301,0.0,0.0
10,ITM2C,32.16452,6.362986,5.534644131391736e-227,7.513832872777421e-223
10,CD74,29.77371,3.8586946,8.556003136163047e-195,5.807814928827476e-191
