interaction_id,source,target,ligand_complex,receptor_complex,interaction_coef,interaction_ci95_low,interaction_ci95_high,n_observations,r_squared,condition_number,interaction_p_value,fdr_q_value
B Cells|B Cells|PKM|CD44,B Cells,B Cells,PKM,CD44,0.2127073647941054,0.023433493486140433,0.40198123610207037,52,0.18736345929589204,12.33200631643905,0.02762140896706983,0.22801202304189017
CD8 T Cells|CD4 T Cells|CD48|CD2,CD8 T Cells,CD4 T Cells,CD48,CD2,-0.1908202692872701,-0.3609906068996208,-0.02064993167491941,52,0.08967175615817524,12.33200631643905,0.027963157290092012,0.23008122252368868
Non-classical Monocytes|Classical Monocytes|ICAM1|ITGAM_ITGB2,Non-classical Monocytes,Classical Monocytes,ICAM1,ITGAM_ITGB2,0.0889405556729192,0.0094891200913082,0.1683919912545302,43,0.1650472556143654,11.102279244445205,0.028231938582941974,0.23108423703324346
pDCs|pDCs|SELPLG|SELL,pDCs,pDCs,SELPLG,SELL,-0.2590223306236763,-0.4904623418432249,-0.02758231940412767,42,0.1479917135085036,10.686067420962344,0.028268024245159236,0.23108423703324346
B Cells|Classical Monocytes|HLA-DRB1|CD4,B Cells,Classical Monocytes,HLA-DRB1,CD4,-0.1085025522731342,-0.2055692259382224,-0.011435878608045985,52,0.25222527204064826,12.33200631643905,0.028460730430643733,0.23190904860582603
Non-classical Monocytes|NK Cells|HLA-B|CD8A,Non-classical Monocytes,NK Cells,HLA-B,CD8A,-0.1608877827147891,-0.30492883254349756,-0.016846732886080656,40,0.4938654851481472,10.501930254986126,0.028582511745552572,0.23215249089796075
Classical Monocytes|Non-classical Monocytes|HLA-DRB1|CD4,Classical Monocytes,Non-classical Monocytes,HLA-DRB1,CD4,-0.20259211808431743,-0.3841282919332566,-0.021055944235378293,52,0.10801887927867859,12.33200631643905,0.028720959496442915,0.23252930669235516
Classical Monocytes|pDCs|HLA-DRB1|CD4,Classical Monocytes,pDCs,HLA-DRB1,CD4,-0.1754796559662377,-0.33303492352172215,-0.01792438841075325,41,0.17654798946872485,10.485860719202712,0.02904017744006391,0.23382724482222483
Non-classical Monocytes|Non-classical Monocytes|GPI|AMFR,Non-classical Monocytes,Non-classical Monocytes,GPI,AMFR,0.4122286329532832,0.04203994382617249,0.7824173220803939,26,0.18219616539883787,8.050968295363074,0.029069373432719856,0.23382724482222483
CD8 T Cells|CD4 T Cells|CLEC2D|KLRB1,CD8 T Cells,CD4 T Cells,CLEC2D,KLRB1,0.25373550253865407,0.025702535308453317,0.4817684697688548,52,0.08885044914557871,12.33200631643905,0.02919232289137483,0.23382724482222483
