interaction_id,source,target,ligand_complex,receptor_complex,interaction_coef,interaction_ci95_low,interaction_ci95_high,n_observations,interaction_p_value,fdr_q_value,n_cHD,mean_cHD,n_cSLE,mean_cSLE,n_aHD,mean_aHD,n_aSLE,mean_aSLE
CD8 T Cells|CD4 T Cells|MIF|CD74_CXCR4,CD8 T Cells,CD4 T Cells,MIF,CD74_CXCR4,0.02806957701889423,-0.3328188862380135,0.38895804027580194,52,0.87883658269075,0.9637149772297365,10,0.43301401931479144,30,0.5238745574927328,5,0.379733356451851,7,0.44252431761089817
NK Cells|NK Cells|MIF|CD74_CXCR4,NK Cells,NK Cells,MIF,CD74_CXCR4,0.026151434708731713,-0.31477403327808856,0.367076902695552,52,0.8804937489830901,0.9647846328699512,10,0.5334639399158904,30,0.6509984645368141,5,0.5251177679620931,7,0.6165008578742851
Classical Monocytes|Classical Monocytes|S100A12|CD36,Classical Monocytes,Classical Monocytes,S100A12,CD36,-0.012168217746688748,-0.17097620668913685,0.14663977119575936,52,0.8806251642630908,0.9647846328699512,10,0.8674664744936462,30,0.8720292013554792,5,0.8192240300629899,7,0.8359549746715117
NK Cells|pDCs|LGALS1|ITGB1,NK Cells,pDCs,LGALS1,ITGB1,-0.020118238070022942,-0.2841464178247096,0.24390994168466373,42,0.8812822048240567,0.9650222843370809,9,0.31967803828393637,21,0.3917107414277463,5,0.31435311939478583,7,0.4065040606086187
pDCs|pDCs|LGALS9|PTPRC,pDCs,pDCs,LGALS9,PTPRC,-0.01783852104936512,-0.2526919005246532,0.21701485842592297,41,0.8816554203298742,0.9650222843370809,9,0.3996479067560694,20,0.2517961719565597,5,0.4090091613688965,7,0.27899594761875185
B Cells|pDCs|HLA-DQB1|CD4,B Cells,pDCs,HLA-DQB1,CD4,-0.011530725255106455,-0.16412020459060245,0.14105875408038954,41,0.8822571035668224,0.9652356416616273,9,0.8507487155026233,20,0.8004663016297935,5,0.8225137675421548,7,0.7837620789244314
pDCs|Classical Monocytes|LGALS1|PTPRC,pDCs,Classical Monocytes,LGALS1,PTPRC,0.013972958853845197,-0.17189414000356704,0.19984005771125743,42,0.8828601040500765,0.9654502428160514,9,0.6092051623144945,21,0.6005109455748443,5,0.6430585145264717,7,0.6203913389329763
Classical Monocytes|B Cells|ADAM17|RHBDF2,Classical Monocytes,B Cells,ADAM17,RHBDF2,-0.013032078668551508,-0.18702106556622294,0.16095690822911995,52,0.8832861575371707,0.9654712352997264,10,0.07385614229972176,30,0.10263246592825911,5,0.047804354604693636,7,0.0896127569017825
Non-classical Monocytes|Classical Monocytes|HBEGF|CD44,Non-classical Monocytes,Classical Monocytes,HBEGF,CD44,0.016118198422675367,-0.20002657941609,0.23226297626144074,41,0.8837973911520869,0.9655852712725148,7,0.4784556146671748,22,0.4811899592407345,5,0.39219383294259313,7,0.37880997909347747
CD8 T Cells|pDCs|HMGB1|CXCR4,CD8 T Cells,pDCs,HMGB1,CXCR4,0.008361569399074287,-0.1054040350571798,0.12212717385532837,42,0.8854579360821518,0.9668870110953084,9,0.833268084575005,21,0.8806702041075944,5,0.7982206670233725,7,0.8372612171568876
pDCs|Classical Monocytes|LGALS9|LRP1,pDCs,Classical Monocytes,LGALS9,LRP1,0.016076050414816967,-0.20331802557872072,0.23547012640835466,41,0.8858037767050992,0.9668870110953084,9,0.01978095420744282,20,0.23073659797637988,5,0.0,7,0.19487959335412008
pDCs|pDCs|MIF|TNFRSF14,pDCs,pDCs,MIF,TNFRSF14,0.01898497189809023,-0.24251063886455215,0.2804805826607326,42,0.8868459590233833,0.9675795221896499,9,0.3909898696457296,21,0.32687703831603443,5,0.2767212940944724,7,0.19362349086668695
Classical Monocytes|B Cells|HMGB1|CXCR4,Classical Monocytes,B Cells,HMGB1,CXCR4,-0.003910136748737747,-0.05806456844849277,0.050244294951017274,52,0.8874621949571829,0.9678068881587294,10,0.9628970580977431,30,0.9301302607459214,5,0.96588471331177,7,0.937028052708686
Classical Monocytes|Non-classical Monocytes|MIF|CD74_CXCR4,Classical Monocytes,Non-classical Monocytes,MIF,CD74_CXCR4,-0.0184128376711776,-0.2765640637475051,0.2397383884051499,52,0.8888212047485371,0.9682325657363047,10,0.17181016871352148,30,0.2776137686305227,5,0.24463531115952822,7,0.36885174874770704
Non-classical Monocytes|NK Cells|S100A8|CD69,Non-classical Monocytes,NK Cells,S100A8,CD69,0.009737128249526106,-0.12709549308034576,0.14656974957939797,52,0.8890765953389835,0.9682325657363047,10,0.8512824019914991,30,0.9760429746619086,5,0.8440544345657521,7,0.9590778789866355
pDCs|Non-classical Monocytes|LTB|TNFRSF1A,pDCs,Non-classical Monocytes,LTB,TNFRSF1A,-0.017162585117732887,-0.257875185836189,0.22355001560072324,42,0.8888625656483286,0.9682325657363047,9,0.3490827137236936,21,0.3655766511540171,5,0.32976495137216955,7,0.36342147392022595
pDCs|Non-classical Monocytes|S100A9|CD36,pDCs,Non-classical Monocytes,S100A9,CD36,0.02107209927084891,-0.2769202308789231,0.3190644294206209,39,0.8897693760717197,0.9685425364303628,6,0.18964595235484208,21,0.3363372269676505,5,0.11085544848570694,7,0.23647462382766646
Classical Monocytes|Classical Monocytes|SELPLG|ITGAM,Classical Monocytes,Classical Monocytes,SELPLG,ITGAM,-0.012113211322891226,-0.18407470562375264,0.15984828297797019,52,0.8901909116959064,0.9685570992454772,10,0.10638394072319594,30,0.18875004902655962,5,0.062145423998990104,7,0.156624743625245
