cohort,review_group,label,gene,cells,fraction_detected,mean_log_expression
child,other,NK Cells,S100A8,16526,0.3206462543870265,0.56070775
child,other,NK Cells,S100A9,16526,0.40227520271087985,0.7462957
child,other,NK Cells,PPBP,16526,0.016156359675662594,0.027633917
child,other,NK Cells,PF4,16526,0.01167856710637783,0.020313999
child,other,NK Cells,HBA1,16526,0.15418129008834563,0.30292925
child,other,Non-classical Monocytes,CD3D,14201,0.15872121681571721,0.18085599
child,other,Non-classical Monocytes,CD3E,14201,0.1002746285472854,0.112190805
child,other,Non-classical Monocytes,CD4,14201,0.3822970213365256,0.47051373
child,other,Non-classical Monocytes,IL7R,14201,0.06992465319343708,0.078199096
child,other,Non-classical Monocytes,CCR7,14201,0.03549045841842124,0.0373145
child,other,Non-classical Monocytes,TCF7,14201,0.07612139990141539,0.08016412
child,other,Non-classical Monocytes,LEF1,14201,0.03534962326596718,0.037901137
child,other,Non-classical Monocytes,CD8A,14201,0.032462502640659106,0.03448931
child,other,Non-classical Monocytes,CD8B,14201,0.049926061544961625,0.053515088
child,other,Non-classical Monocytes,NKG7,14201,0.3730019012745581,0.49183837
child,other,Non-classical Monocytes,CCL5,14201,0.17977607210759805,0.219062
child,other,Non-classical Monocytes,GZMK,14201,0.023096965002464616,0.025046477
child,other,Non-classical Monocytes,PRF1,14201,0.039856348144496866,0.043340813
child,other,Non-classical Monocytes,GNLY,14201,0.3130765439053588,0.39054775
child,other,Non-classical Monocytes,MS4A1,14201,0.034786282656150976,0.038927943
child,other,Non-classical Monocytes,CD79A,14201,0.06422082951904795,0.06918533
child,other,Non-classical Monocytes,CD79B,14201,0.31941412576579115,0.42795357
child,other,Non-classical Monocytes,LYZ,14201,0.9888036053799029,3.967025
child,other,Non-classical Monocytes,LST1,14201,0.9958453630026054,3.1766849
child,other,Non-classical Monocytes,FCN1,14201,0.9569748609252869,2.7865884
child,other,Non-classical Monocytes,S100A8,14201,0.906203788465601,3.0586727
child,other,Non-classical Monocytes,S100A9,14201,0.9698612773748327,3.5895162
child,other,Non-classical Monocytes,PPBP,14201,0.0651362580099993,0.09344155
child,other,Non-classical Monocytes,PF4,14201,0.047602281529469756,0.0670176
child,other,Non-classical Monocytes,HBA1,14201,0.21625237659319765,0.3409833
child,other,Plasma Cells,CD3D,1373,0.45666423889293517,0.4054292
child,other,Plasma Cells,CD3E,1373,0.3445010924981792,0.26928094
child,other,Plasma Cells,CD4,1373,0.06773488710852149,0.046514995
child,other,Plasma Cells,IL7R,1373,0.21631463947560087,0.15766448
child,other,Plasma Cells,CCR7,1373,0.11289147851420248,0.070253015
child,other,Plasma Cells,TCF7,1373,0.2294246176256373,0.1609256
child,other,Plasma Cells,LEF1,1373,0.14202476329206118,0.09763434
child,other,Plasma Cells,CD8A,1373,0.11944646758922069,0.07973599
child,other,Plasma Cells,CD8B,1373,0.16970138383102695,0.11681989
child,other,Plasma Cells,NKG7,1373,0.6780772032046614,0.71959543
child,other,Plasma Cells,CCL5,1373,0.46030589949016754,0.40447593
child,other,Plasma Cells,GZMK,1373,0.10779315367807721,0.071787156
child,other,Plasma Cells,PRF1,1373,0.20393299344501092,0.15550876
child,other,Plasma Cells,GNLY,1373,0.7021121631463948,0.79674715
child,other,Plasma Cells,MS4A1,1373,0.18499635833940276,0.17026237
child,other,Plasma Cells,CD79A,1373,0.9184268026219956,1.9827659
child,other,Plasma Cells,CD79B,1373,0.8142753095411508,0.995298
child,other,Plasma Cells,LYZ,1373,0.8069919883466861,1.0508535
child,other,Plasma Cells,LST1,1373,0.44646758922068464,0.3663167
child,other,Plasma Cells,FCN1,1373,0.45010924981791695,0.3996429
child,other,Plasma Cells,S100A8,1373,0.817916970138383,1.3752824
child,other,Plasma Cells,S100A9,1373,0.8470502549162418,1.5627013
child,other,Plasma Cells,PPBP,1373,0.05899490167516387,0.04307416
child,other,Plasma Cells,PF4,1373,0.04224326292789512,0.026445955
child,other,Plasma Cells,HBA1,1373,0.370721048798252,0.49956924
child,other,Platelets,CD3D,1382,0.3422575976845152,0.5854545
child,other,Platelets,CD3E,1382,0.2793053545586107,0.41979662
child,other,Platelets,CD4,1382,0.23589001447178004,0.2748884
child,other,Platelets,IL7R,1382,0.1736613603473227,0.26595813
child,other,Platelets,CCR7,1382,0.07670043415340087,0.10246693
child,other,Platelets,TCF7,1382,0.1389290882778582,0.16623497
child,other,Platelets,LEF1,1382,0.09261939218523878,0.12051713
child,other,Platelets,CD8A,1382,0.12156295224312591,0.15908824
child,other,Platelets,CD8B,1382,0.1345875542691751,0.17525873
child,other,Platelets,NKG7,1382,0.5065123010130246,1.1842382
child,other,Platelets,CCL5,1382,0.869753979739508,2.2143683
child,other,Platelets,GZMK,1382,0.06657018813314038,0.09662431
child,other,Platelets,PRF1,1382,0.17945007235890015,0.2594027
child,other,Platelets,GNLY,1382,0.455137481910275,1.061622
child,other,Platelets,MS4A1,1382,0.03762662807525326,0.04903697
child,other,Platelets,CD79A,1382,0.060057887120115776,0.07005003
child,other,Platelets,CD79B,1382,0.10057887120115774,0.1095621
child,other,Platelets,LYZ,1382,0.8082489146164978,3.355503
child,other,Platelets,LST1,1382,0.7120115774240231,1.6823306
child,other,Platelets,FCN1,1382,0.6664254703328509,1.6396909
child,other,Platelets,S100A8,1382,0.8277858176555717,3.2742295
child,other,Platelets,S100A9,1382,0.8523878437047757,3.6066482
child,other,Platelets,PPBP,1382,0.7322720694645442,2.9296155
child,other,Platelets,PF4,1382,0.7054992764109985,2.4131536
child,other,Platelets,HBA1,1382,0.35238784370477566,0.6733136
child,other,RBCs,CD3D,1472,0.22146739130434784,0.42923048
child,other,RBCs,CD3E,1472,0.17866847826086957,0.329471
child,other,RBCs,CD4,1472,0.021739130434782608,0.037159193
child,other,RBCs,IL7R,1472,0.12907608695652173,0.24314182
child,other,RBCs,CCR7,1472,0.07336956521739131,0.123570755
child,other,RBCs,TCF7,1472,0.08355978260869565,0.14549716
child,other,RBCs,LEF1,1472,0.06453804347826086,0.10218621
child,other,RBCs,CD8A,1472,0.04483695652173913,0.07509642
child,other,RBCs,CD8B,1472,0.057065217391304345,0.09740018
child,other,RBCs,NKG7,1472,0.25271739130434784,0.4901454
child,other,RBCs,CCL5,1472,0.12771739130434784,0.24580473
child,other,RBCs,GZMK,1472,0.019021739130434784,0.037758164
child,other,RBCs,PRF1,1472,0.034646739130434784,0.068953864
child,other,RBCs,GNLY,1472,0.23505434782608695,0.4605746
child,other,RBCs,MS4A1,1472,0.025135869565217392,0.046124365
child,other,RBCs,CD79A,1472,0.043478260869565216,0.07700334
child,other,RBCs,CD79B,1472,0.025815217391304348,0.039157532
child,other,RBCs,LYZ,1472,0.6508152173913043,1.556305
child,other,RBCs,LST1,1472,0.18614130434782608,0.33697137
child,other,RBCs,FCN1,1472,0.18070652173913043,0.34800753
child,other,RBCs,S100A8,1472,0.6854619565217391,1.7370474
child,other,RBCs,S100A9,1472,0.7520380434782609,2.1081703
child,other,RBCs,PPBP,1472,0.09714673913043478,0.18143225
child,other,RBCs,PF4,1472,0.042798913043478264,0.08086988
child,other,RBCs,HBA1,1472,0.953125,8.166127
child,other,cDCs,CD3D,2167,0.2556529764651592,0.21719143
child,other,cDCs,CD3E,2167,0.20073834794646978,0.1635812
child,other,cDCs,CD4,2167,0.4863867097369635,0.44709644
child,other,cDCs,IL7R,2167,0.14213197969543148,0.12223553
child,other,cDCs,CCR7,2167,0.08306414397784956,0.063217565
child,other,cDCs,TCF7,2167,0.19473927088140286,0.15285726
child,other,cDCs,LEF1,2167,0.07291185971389016,0.05019831
child,other,cDCs,CD8A,2167,0.06829718504845408,0.052055966
child,other,cDCs,CD8B,2167,0.09183202584217813,0.06865107
child,other,cDCs,NKG7,2167,0.4766958929395478,0.47605878
child,other,cDCs,CCL5,2167,0.3017997231195201,0.2843956
child,other,cDCs,GZMK,2167,0.03784033225657591,0.029646099
child,other,cDCs,PRF1,2167,0.06506691278264883,0.048638456
child,other,cDCs,GNLY,2167,0.4231656668204892,0.39449966
child,other,cDCs,MS4A1,2167,0.0586063682510383,0.04705132
child,other,cDCs,CD79A,2167,0.10429164743885556,0.085206665
child,other,cDCs,CD79B,2167,0.19473927088140286,0.1524806
child,other,cDCs,LYZ,2167,0.9995385325334564,4.2399397
child,other,cDCs,LST1,2167,0.9833871712044301,2.213312
child,other,cDCs,FCN1,2167,0.7660359944623903,1.5256693
child,other,cDCs,S100A8,2167,0.7868020304568528,1.6613222
child,other,cDCs,S100A9,2167,0.9077065066912783,2.3966393
child,other,cDCs,PPBP,2167,0.08583294877711121,0.102654256
child,other,cDCs,PF4,2167,0.05122288878634056,0.06099671
child,other,cDCs,HBA1,2167,0.1693585602215044,0.2162114
child,other,pDCs,CD3D,803,0.19676214196762143,0.20688199
child,other,pDCs,CD3E,803,0.199252801992528,0.20747225
child,other,pDCs,CD4,803,0.5865504358655044,0.84137505
child,other,pDCs,IL7R,803,0.12826899128268993,0.12870911
child,other,pDCs,CCR7,803,0.0958904109589041,0.09785941
child,other,pDCs,TCF7,803,0.19053549190535493,0.18097635
child,other,pDCs,LEF1,803,0.0684931506849315,0.0629164
child,other,pDCs,CD8A,803,0.034869240348692404,0.034257896
child,other,pDCs,CD8B,803,0.05977584059775841,0.059887055
child,other,pDCs,NKG7,803,0.36737235367372356,0.42196947
child,other,pDCs,CCL5,803,0.23785803237858033,0.28117555
child,other,pDCs,GZMK,803,0.0323785803237858,0.033142094
child,other,pDCs,PRF1,803,0.0647571606475716,0.066017434
child,other,pDCs,GNLY,803,0.3412204234122042,0.4057007
child,other,pDCs,MS4A1,803,0.043586550435865505,0.04814179
child,other,pDCs,CD79A,803,0.18679950186799502,0.20186074
child,other,pDCs,CD79B,803,0.0821917808219178,0.0819717
