cohort,sample,review_group,label,cells,n_genes_by_counts_median,total_counts_median,pct_counts_mt_median,doublet_score_median,ribosomal_percent_retained_genes_median,reference_probability_median,nonT_multimarker_flag_fraction,CD8_both_detected_fraction,same_restoration_gate_fraction,p08_fraction
child,GSM4029900_JB17005,other,NK Cells,182,973.0,2165.0,4.008032128514056,0.0174216027874564,22.7036475,0.9960310664575295,0.3021978021978022,0.005494505494505495,0.005494505494505495,0.7582417582417582
child,GSM4029900_JB17005,other,Non-classical Monocytes,350,1426.5,4394.5,4.933320013503219,0.036226930963773,23.55808,0.942696089387853,1.0,0.0,0.0,0.7085714285714285
child,GSM4029900_JB17005,other,Plasma Cells,4,1819.5,6054.5,9.306367774382913,0.12326944178553909,22.076507499999998,0.7464980467126945,1.0,0.0,0.0,0.5
child,GSM4029900_JB17005,other,Platelets,23,1208.0,3263.0,7.271514342895263,0.0705762018411183,19.93007,0.8079117068494395,1.0,0.043478260869565216,0.043478260869565216,0.5217391304347826
child,GSM4029900_JB17005,other,RBCs,1,446.0,821.0,7.429963459196102,0.0198123044838373,12.10269,0.8202429527009962,0.0,0.0,0.0,1.0
child,GSM4029900_JB17005,other,cDCs,79,2051.0,7867.0,3.8812083973374296,0.0591446769790718,29.261496,0.7490750677961533,1.0,0.0,0.0,0.3924050632911392
child,GSM4029900_JB17005,other,pDCs,13,1422.0,4199.0,2.717229023589131,0.0774263904034896,31.19403,0.954459757699649,0.5384615384615384,0.0,0.0,0.6923076923076923
child,GSM4029900_JB17005,restored,CD4 T Cells,504,854.0,2717.5,2.8072956345978444,0.0566706021251475,47.1547635,0.9844899444859139,0.29365079365079366,0.007936507936507936,1.0,0.8968253968253969
child,GSM4029900_JB17005,restored,CD8 T Cells,381,949.0,3280.0,3.5472091810119983,0.0543259557344064,48.388077,0.9737777107882434,0.3569553805774278,0.47244094488188976,1.0,0.8713910761154856
child,GSM4029901_JB17006,excluded_unrestored,Ribosomal/Low-quality,539,939.0,2930.0,2.781456953642384,0.0400166736140058,46.021698,0.8111605313426218,0.4489795918367347,0.24489795918367346,0.0,0.5064935064935064
child,GSM4029901_JB17006,original_T,CD4 T Cells,691,1055.0,3506.0,2.1946564885496183,0.0373493975903614,44.0471,0.7643984325363333,0.48480463096960924,0.010130246020260492,0.5846599131693199,0.45296671490593343
child,GSM4029901_JB17006,original_T,CD8 T Cells,303,923.0,2291.0,2.957121734844751,0.0199456029011786,30.95488,0.6967667462349212,0.43564356435643564,0.5148514851485149,0.40924092409240925,0.40924092409240925
child,GSM4029901_JB17006,other,B Cells,394,855.0,2642.5,3.0479790050035627,0.0104037651721575,42.8656005,0.894311120574484,0.9416243654822335,0.0025380710659898475,0.0025380710659898475,0.700507614213198
child,GSM4029901_JB17006,other,Classical Monocytes,1798,949.0,2376.0,4.9290335768499265,0.0550389545111837,23.787427,0.9656942862567452,0.9994438264738599,0.0011123470522803114,0.0011123470522803114,0.8464961067853171
