cohort,review_group,label,metric,quantile,value
child,other,Classical Monocytes,n_genes_by_counts,0.5,1135.0
child,other,Classical Monocytes,n_genes_by_counts,0.75,1450.0
child,other,Classical Monocytes,n_genes_by_counts,0.9,1789.0
child,other,Classical Monocytes,n_genes_by_counts,0.95,2035.0
child,other,Classical Monocytes,total_counts,0.1,1523.0
child,other,Classical Monocytes,total_counts,0.25,2153.0
child,other,Classical Monocytes,total_counts,0.5,3185.0
child,other,Classical Monocytes,total_counts,0.75,4562.0
child,other,Classical Monocytes,total_counts,0.9,6253.0
child,other,Classical Monocytes,total_counts,0.95,7552.399999999994
child,other,Classical Monocytes,pct_counts_mt,0.1,2.4835174732600462
child,other,Classical Monocytes,pct_counts_mt,0.25,3.2935831913685405
child,other,Classical Monocytes,pct_counts_mt,0.5,4.519774011299435
child,other,Classical Monocytes,pct_counts_mt,0.75,6.181693989071039
child,other,Classical Monocytes,pct_counts_mt,0.9,8.280771294795095
child,other,Classical Monocytes,pct_counts_mt,0.95,10.023494713384045
child,other,Classical Monocytes,doublet_score,0.1,0.0114182692307692
child,other,Classical Monocytes,doublet_score,0.25,0.0171870524205098
child,other,Classical Monocytes,doublet_score,0.5,0.0274572224432948
child,other,Classical Monocytes,doublet_score,0.75,0.045079365079365
child,other,Classical Monocytes,doublet_score,0.9,0.0725478816018572
child,other,Classical Monocytes,doublet_score,0.95,0.0978886756238003
child,other,Classical Monocytes,ribosomal_percent_retained_genes,0.1,16.4682118
child,other,Classical Monocytes,ribosomal_percent_retained_genes,0.25,19.148935
child,other,Classical Monocytes,ribosomal_percent_retained_genes,0.5,22.734499
child,other,Classical Monocytes,ribosomal_percent_retained_genes,0.75,26.478947
child,other,Classical Monocytes,ribosomal_percent_retained_genes,0.9,29.660772000000012
child,other,Classical Monocytes,ribosomal_percent_retained_genes,0.95,31.677251599999998
child,other,Classical Monocytes,reference_probability,0.1,0.7176694032379147
child,other,Classical Monocytes,reference_probability,0.25,0.8978899842536163
child,other,Classical Monocytes,reference_probability,0.5,0.9744545077158612
child,other,Classical Monocytes,reference_probability,0.75,0.994286079014766
child,other,Classical Monocytes,reference_probability,0.9,0.9986522148211303
child,other,Classical Monocytes,reference_probability,0.95,0.9994656038091876
child,other,IFN-stimulated T Cells,n_genes_by_counts,0.1,742.1
child,other,IFN-stimulated T Cells,n_genes_by_counts,0.25,881.0
child,other,IFN-stimulated T Cells,n_genes_by_counts,0.5,1056.5
child,other,IFN-stimulated T Cells,n_genes_by_counts,0.75,1248.0
child,other,IFN-stimulated T Cells,n_genes_by_counts,0.9,1464.0
child,other,IFN-stimulated T Cells,n_genes_by_counts,0.95,1670.9
child,other,IFN-stimulated T Cells,total_counts,0.1,2141.4
child,other,IFN-stimulated T Cells,total_counts,0.25,2704.5
child,other,IFN-stimulated T Cells,total_counts,0.5,3492.5
child,other,IFN-stimulated T Cells,total_counts,0.75,4401.5
child,other,IFN-stimulated T Cells,total_counts,0.9,5576.400000000001
child,other,IFN-stimulated T Cells,total_counts,0.95,6641.4000000000015
child,other,IFN-stimulated T Cells,pct_counts_mt,0.1,0.91181726716902
